"concept"	"label"	"categories_str"	"sources_str"	"certainty"	"cosine_centroid"	"selection"
"technical"	"pos/neg"	"vehicle"	"wn_hypernym"	"not_certain"	0.0448160865	3
"permit"	"neg"	"fish"	"wn_hypernym"	"not_certain"	0.059464161	3
"entire"	"neg"	"mammal"	"wn_hypernym"	"not_certain"	0.0638144111	3
"auto"	"pos/neg"	"vehicle"	"wn_hypernym"	"not_certain"	0.0686351123	3
"stage"	"pos/neg"	"vehicle"	"wn_hypernym"	"not_certain"	0.0687518383	3
"semi"	"pos/neg"	"vehicle"	"wn_hypernym"	"not_certain"	0.0739757515	3
"berlin"	"pos/neg"	"vehicle"	"wn_hypernym"	"not_certain"	0.0796287462	3
"ordinary"	"pos/neg"	"vehicle"	"wn_hypernym"	"not_certain"	0.0806314742	3
"sole"	"neg"	"fish"	"wn_hypernym"	"not_certain"	0.0821336992	3
"grade"	"neg"	"mammal"	"wn_hypernym"	"not_certain"	0.0838741111	3
"das"	"neg"	"mammal"	"wn_hypernym"	"not_certain"	0.0900815836	3
"cycle"	"pos/neg"	"vehicle"	"wn_hypernym"	"not_certain"	0.0932803706	3
"humankind"	"neg"	"mammal"	"wn_hypernym"	"not_certain"	0.0976115432	3
"world"	"neg"	"mammal"	"wn_hypernym"	"not_certain"	0.0976736948	3
"sweeper"	"neg"	"fish"	"wn_hypernym"	"not_certain"	0.0987142057	3
"flatbed"	"pos/neg"	"vehicle"	"wn_hypernym"	"not_certain"	0.1029444477	3
"humanity"	"neg"	"mammal"	"wn_hypernym"	"not_certain"	0.1042874703	3
"dobbin"	"neg"	"mammal"	"wn_hypernym"	"not_certain"	0.1051245701	3
"hausen"	"neg"	"fish"	"wn_hypernym"	"not_certain"	0.1053308735	3
"shay"	"pos/neg"	"vehicle"	"wn_hypernym"	"not_certain"	0.1057444918	3
"finisher"	"pos/neg"	"vehicle"	"wn_hypernym"	"not_certain"	0.1059053388	3
"gib"	"neg"	"mammal"	"wn_hypernym"	"not_certain"	0.1063404674	3
"landau"	"pos/neg"	"vehicle"	"wn_hypernym"	"not_certain"	0.1064445815	3
"coach"	"pos/neg"	"vehicle"	"wn_hypernym"	"not_certain"	0.1075665781	3
"automobile"	"pos/neg"	"vehicle"	"wn_hypernym"	"not_certain"	0.1102141143	3
"ai"	"neg"	"mammal"	"wn_hypernym"	"not_certain"	0.1122067505	3
"pacesetter"	"neg"	"mammal"	"wn_hypernym"	"not_certain"	0.1125308123	3
"sub"	"pos/neg"	"vehicle"	"wn_hypernym"	"not_certain"	0.1127164832	3
