"concept"	"label"	"categories_str"	"sources_str"	"certainty"	"cosine_centroid"	"selection"
"entire"	"neg"	"mammal"	"wn_hypernym"	"not_certain"	0.0889431922	3
"permit"	"pos"	"fish"	"wn_hypernym"	"not_certain"	0.091390042	1
"grade"	"neg"	"mammal"	"wn_hypernym"	"not_certain"	0.0951722552	
"world"	"neg"	"mammal"	"wn_hypernym"	"not_certain"	0.0987806161	
"sole"	"pos"	"fish"	"wn_hypernym"	"not_certain"	0.1056267339	
"das"	"neg"	"mammal"	"wn_hypernym"	"not_certain"	0.1142390136	
"sweeper"	"pos"	"fish"	"wn_hypernym"	"not_certain"	0.1160140394	
"pacesetter"	"neg"	"mammal"	"wn_hypernym"	"not_certain"	0.1169461403	
"dobbin"	"neg"	"mammal"	"wn_hypernym"	"not_certain"	0.1171591181	
"ai"	"neg"	"mammal"	"wn_hypernym"	"not_certain"	0.1175627705	
"royal"	"neg"	"mammal"	"wn_hypernym"	"not_certain"	0.1199446906	
"humankind"	"neg"	"mammal"	"wn_hypernym"	"not_certain"	0.1204877913	
"gib"	"neg"	"mammal"	"wn_hypernym"	"not_certain"	0.1204951332	
"poster"	"neg"	"mammal"	"wn_hypernym"	"not_certain"	0.1216174725	
"humanity"	"neg"	"mammal"	"wn_hypernym"	"not_certain"	0.1217712795	
"hausen"	"pos"	"fish"	"wn_hypernym"	"not_certain"	0.1257900705	
"brit"	"pos"	"fish"	"wn_hypernym"	"not_certain"	0.1262393123	
"frier"	"pos"	"bird"	"wn_hypernym"	"not_certain"	0.1301175206	
"pen"	"pos"	"bird"	"wn_hypernym"	"not_certain"	0.1307365228	
"unai"	"neg"	"mammal"	"wn_hypernym"	"not_certain"	0.1308348693	
"mount"	"neg"	"mammal"	"wn_hypernym"	"not_certain"	0.1324568311	
"bellwether"	"neg"	"mammal"	"wn_hypernym"	"not_certain"	0.1341657775	
"ern"	"pos"	"bird"	"wn_hypernym"	"not_certain"	0.1342025179	
"pollard"	"neg"	"mammal"	"wn_hypernym"	"not_certain"	0.1345822234	
"watchdog"	"neg"	"mammal"	"wn_hypernym"	"not_certain"	0.135646113	
"hack"	"neg"	"mammal"	"wn_hypernym"	"not_certain"	0.1369978664	
"workhorse"	"neg"	"mammal"	"wn_hypernym"	"not_certain"	0.1373432431	
"mankind"	"neg"	"mammal"	"wn_hypernym"	"not_certain"	0.1376358183	
"lotte"	"pos"	"fish"	"wn_hypernym"	"not_certain"	0.1376423014	
"britt"	"pos"	"fish"	"wn_hypernym"	"not_certain"	0.1382214514	
"banting"	"neg"	"mammal"	"wn_hypernym"	"not_certain"	0.1386475158	
"brill"	"pos"	"fish"	"wn_hypernym"	"not_certain"	0.1398748078	
"blower"	"neg"	"mammal"	"wn_hypernym"	"not_certain"	0.1414891342	
"poll"	"pos"	"bird"	"wn_hypernym"	"not_certain"	0.1415674368	
"mina"	"pos"	"bird"	"wn_hypernym"	"not_certain"	0.1428805591	
"ani"	"pos"	"bird"	"wn_hypernym"	"not_certain"	0.1447450553	
"daw"	"pos"	"bird"	"wn_hypernym"	"not_certain"	0.1450894886	
"reeve"	"pos"	"bird"	"wn_hypernym"	"not_certain"	0.146404645	
"varan"	"pos"	"reptile"	"wn_hypernym"	"not_certain"	0.1467306356	
"fryer"	"pos"	"bird"	"wn_hypernym"	"not_certain"	0.1469637253	
"remount"	"neg"	"mammal"	"wn_hypernym"	"not_certain"	0.1473299424	
"queen"	"neg"	"mammal"	"wn_hypernym"	"not_certain"	0.150053637	
"hackney"	"neg"	"mammal"	"wn_hypernym"	"not_certain"	0.1501948214	
"lapin"	"neg"	"mammal"	"wn_hypernym"	"not_certain"	0.150307446	
"stablemate"	"neg"	"mammal"	"wn_hypernym"	"not_certain"	0.1503976222	
"bruin"	"neg"	"mammal"	"wn_hypernym"	"not_certain"	0.1507551374	
"martin"	"pos"	"bird"	"wn_hypernym"	"not_certain"	0.1512472628	
"mollie"	"pos"	"fish"	"wn_hypernym"	"not_certain"	0.1515614967	
"cur"	"neg"	"mammal"	"wn_hypernym"	"not_certain"	0.1520665057	
"mara"	"neg"	"mammal"	"wn_hypernym"	"not_certain"	0.1521710088	
"hart"	"neg"	"mammal"	"wn_hypernym"	"not_certain"	0.1523711509	
"solan"	"pos"	"bird"	"wn_hypernym"	"not_certain"	0.1529796277	
"human"	"neg"	"mammal"	"wn_hypernym"	"not_certain"	0.1534359923	
"sow"	"neg"	"mammal"	"wn_hypernym"	"not_certain"	0.1543022404	
"stint"	"pos"	"bird"	"wn_hypernym"	"not_certain"	0.1549937929	
"schoolmaster"	"pos"	"fish"	"wn_hypernym"	"not_certain"	0.1550124192	
"runner"	"pos"	"fish"	"wn_hypernym"	"not_certain"	0.1557045975	
"alsatian"	"neg"	"mammal"	"wn_hypernym"	"not_certain"	0.1570858519	
"stock"	"neg"	"mammal"	"wn_hypernym"	"not_certain"	0.1573498775	
"ram"	"neg"	"mammal"	"wn_hypernym"	"not_certain"	0.1575042663	
"doe"	"neg"	"mammal"	"wn_hypernym"	"not_certain"	0.1586253452	
"palfrey"	"neg"	"mammal"	"wn_hypernym"	"not_certain"	0.1590726556	
"nag"	"neg"	"mammal"	"wn_hypernym"	"not_certain"	0.1591430617	
"urus"	"neg"	"mammal"	"wn_hypernym"	"not_certain"	0.1593415616	
"steer"	"neg"	"mammal"	"wn_hypernym"	"not_certain"	0.1601302968	
"catamount"	"neg"	"mammal"	"wn_hypernym"	"not_certain"	0.1602731867	
"cochin"	"pos"	"bird"	"wn_hypernym"	"not_certain"	0.1603338271	
"cardinal"	"pos"	"bird"	"wn_hypernym"	"not_certain"	0.1613058741	
"mouser"	"neg"	"mammal"	"wn_hypernym"	"not_certain"	0.1620380875	
"gosling"	"pos"	"bird"	"wn_hypernym"	"not_certain"	0.1623319227	
