"concept"	"label"	"categories_str"	"sources_str"	"certainty"	"cosine_centroid"	"selection"
"royal"	"pos/neg"	"mammal"	"wn_hypernym"	"not_certain"	0.0725427707	3
"ani"	"neg"	"bird"	"wn_hypernym"	"not_certain"	0.0756963495	3
"solan"	"neg"	"bird"	"wn_hypernym"	"not_certain"	0.0863061016	2
"brit"	"pos"	"fish"	"wn_hypernym"	"not_certain"	0.0870761398	2
"grade"	"pos/neg"	"mammal"	"wn_hypernym"	"not_certain"	0.0883150479	
"world"	"pos/neg"	"mammal"	"wn_hypernym"	"not_certain"	0.0922364132	
"poll"	"neg"	"bird"	"wn_hypernym"	"not_certain"	0.0933869193	
"humankind"	"pos/neg"	"mammal"	"wn_hypernym"	"not_certain"	0.0937990143	
"entire"	"pos/neg"	"mammal"	"wn_hypernym"	"not_certain"	0.0948206446	
"pacesetter"	"pos/neg"	"mammal"	"wn_hypernym"	"not_certain"	0.0968252515	
"poster"	"pos/neg"	"mammal"	"wn_hypernym"	"not_certain"	0.0969197774	
"mankind"	"pos/neg"	"mammal"	"wn_hypernym"	"not_certain"	0.1004051886	
"ai"	"pos/neg"	"mammal"	"wn_hypernym"	"not_certain"	0.1039460716	
"unai"	"pos/neg"	"mammal"	"wn_hypernym"	"not_certain"	0.1049828625	
"humanity"	"pos/neg"	"mammal"	"wn_hypernym"	"not_certain"	0.1049829428	
"merlin"	"neg"	"bird"	"wn_hypernym"	"not_certain"	0.1058148609	
"mount"	"pos/neg"	"mammal"	"wn_hypernym"	"not_certain"	0.1065868074	
"banting"	"pos/neg"	"mammal"	"wn_hypernym"	"not_certain"	0.1075813514	
"pollard"	"pos/neg"	"mammal"	"wn_hypernym"	"not_certain"	0.1085603179	
"bellwether"	"pos/neg"	"mammal"	"wn_hypernym"	"not_certain"	0.1087993121	
"permit"	"pos"	"fish"	"wn_hypernym"	"not_certain"	0.1102221593	
"remount"	"pos/neg"	"mammal"	"wn_hypernym"	"not_certain"	0.110669856	
"martin"	"neg"	"bird"	"wn_hypernym"	"not_certain"	0.1125375011	
"watchdog"	"pos/neg"	"mammal"	"wn_hypernym"	"not_certain"	0.1131784071	
"gosling"	"neg"	"bird"	"wn_hypernym"	"not_certain"	0.1146909985	
"hack"	"pos/neg"	"mammal"	"wn_hypernym"	"not_certain"	0.1151526385	
