concept,label,categories_str,sources_str,certainty
blueberry,pos,blue is_blue blue is_blue,cslb conceptnet mcrae veale_simile manually_included,certain
iceberg,pos,is_blue,veale_simile,not_certain
kingfisher,pos,is_green is_blue,cslb veale_simile,not_certain
lark,pos,is_blue,veale_simile,not_certain
lagoon,pos,is_blue,veale_simile,not_certain
pilot_light,pos,is_blue,veale_simile,not_certain
dolphin,pos,is_blue,cslb veale_simile,not_certain
sky,pos,blue is_blue blue is_blue,conceptnet veale_simile manually_included,certain
jay,pos,is_blue,veale_simile,not_certain
eye,pos,is_green is_blue,cslb,not_certain
jeans,pos,is_black is_blue,cslb,not_certain
peacock,pos,is_green is_blue,cslb,not_certain
whale,pos,is_blue,cslb,not_certain
bluejay,pos,is_blue,mcrae,not_certain
budgie,pos,is_green is_yellow is_blue,cslb mcrae,not_certain
lemon,neg,is_yellow,cslb veale_simile,not_certain
banana,neg,is_green is_yellow yellow,cslb conceptnet mcrae veale_simile,not_certain
buttercup,neg,is_yellow,cslb veale_simile,not_certain
sunflower,neg,is_yellow,cslb veale_simile,not_certain
daffodil,neg,is_yellow,cslb veale_simile,not_certain
sunbeam,neg,is_yellow,veale_simile,not_certain
egg_yolk,neg,is_yellow,veale_simile,not_certain
saffron,neg,is_yellow,veale_simile,not_certain
sun,neg,is_yellow,veale_simile,not_certain
dandelion,neg,is_yellow is_yellow,cslb veale_simile manually_included,certain
banana_peel,neg,is_yellow,veale_simile,not_certain
apricot,neg,is_yellow,cslb,not_certain
bee,neg,is_yellow is_black,cslb,not_certain
beer,neg,is_yellow,cslb,not_certain
butter,neg,is_yellow yellow,cslb conceptnet,not_certain
canary,neg,is_yellow,cslb mcrae,not_certain
champagne,neg,is_yellow,cslb,not_certain
cheese,neg,is_yellow,cslb,not_certain
cheetah,neg,is_yellow,cslb,not_certain
cider,neg,is_yellow,cslb,not_certain
corn,neg,is_yellow,cslb,not_certain
courgette,neg,is_green is_yellow,cslb,not_certain
crane_(equipment),neg,is_yellow,cslb,not_certain
daisy,neg,is_yellow is_yellow,cslb manually_included,certain
giraffe,neg,is_yellow,cslb,not_certain
goldfish,neg,is_yellow,cslb,not_certain
grapefruit,neg,is_yellow is_red,cslb,not_certain
hornet,neg,is_yellow is_black,cslb,not_certain
leopard,neg,is_yellow is_black,cslb,not_certain
lion,neg,is_yellow,cslb,not_certain
locust,neg,is_yellow,cslb,not_certain
mango,neg,is_green is_yellow,cslb,not_certain
marigold,neg,is_yellow,cslb,not_certain
melon,neg,is_green is_yellow,cslb,not_certain
nectarine,neg,is_yellow is_red,cslb,not_certain
pansy,neg,is_yellow,cslb,not_certain
peach,neg,is_yellow,cslb,not_certain
pineapple,neg,is_green is_yellow,cslb,not_certain
plum,neg,is_yellow,cslb,not_certain
pyramid,neg,is_yellow,cslb,not_certain
sandpaper,neg,is_yellow,cslb,not_certain
taxi,neg,is_yellow is_black,cslb,not_certain
wasp,neg,is_yellow is_black,cslb,not_certain
apple,neg,red is_green is_yellow green is_red,cslb conceptnet mcrae veale_simile,not_certain
beans,neg,is_green is_yellow,mcrae,not_certain
beehive,neg,is_yellow,mcrae,not_certain
bus,neg,is_yellow is_red,cslb mcrae,not_certain
beetroot,neg,is_red,veale_simile,not_certain
beet,neg,is_red,veale_simile,not_certain
lobster,neg,is_red,cslb veale_simile,not_certain
tomato,neg,is_green is_red,cslb veale_simile,not_certain
strawberry,neg,is_red is_red,cslb veale_simile manually_included,certain
pomegranate,neg,is_red,veale_simile,not_certain
radish,neg,is_red,cslb veale_simile,not_certain
poppy,neg,is_black is_red,cslb veale_simile,not_certain
berry,neg,is_red,veale_simile,not_certain
peony,neg,is_red,veale_simile,not_certain
plum_pudding,neg,is_red,veale_simile,not_certain
pepper,neg,is_red black,conceptnet veale_simile,not_certain
raspberry,neg,is_red,cslb veale_simile,not_certain
cherry,neg,is_red,cslb veale_simile,not_certain
ground_cherry,neg,is_red,veale_simile,not_certain
rooster,neg,is_red,veale_simile,not_certain
candy_apple,neg,is_red,veale_simile,not_certain
fire_hydrant,neg,is_red,veale_simile,not_certain
fox,neg,is_red,cslb veale_simile,not_certain
flame,neg,is_red,veale_simile,not_certain
ruby,neg,red is_red,conceptnet veale_simile,not_certain
beefsteak_tomato,neg,is_red,veale_simile,not_certain
rose,neg,red is_red,cslb conceptnet veale_simile,not_certain
herring,neg,is_red,cslb veale_simile,not_certain
indian,neg,is_red,veale_simile,not_certain
ant,neg,is_black is_red,cslb mcrae,not_certain
brick,neg,is_red,cslb mcrae,not_certain
cabbage,neg,is_green is_red,cslb mcrae,not_certain
carnation,neg,is_red,cslb,not_certain
crab,neg,is_red,cslb,not_certain
currant,neg,is_black is_red,cslb,not_certain
geranium,neg,is_red,cslb,not_certain
grape,neg,is_green green is_red,cslb conceptnet,not_certain
hair,neg,is_black is_red,cslb,not_certain
heart,neg,is_red,cslb,not_certain
jam,neg,is_red,cslb,not_certain
jelly,neg,is_green is_red,cslb,not_certain
