"concept"	"label"	"categories_str"	"sources_str"	"certainty"	"cosine_centroid"	"selection"
"order"	"pos"	"collect"	"manual_seed_data"	"not_certain"	0.2844357815	"pos"
"children"	"pos"	"collect"	"manual_seed_data"	"not_certain"	0.3177282745	
"objects"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3260103847	
"fafsa"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.326166218	
5000	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3261858819	
"depreciation"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3262800926	
"eroei"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3263199262	
"bricks"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3264025584	
"mammogram"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3266305374	
"quantiles"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3266428908	
"profit"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3269581672	
"mails"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3274989879	
"cost"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3277465801	
"postal"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3278739921	
"salaries"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3280005605	
"rubles"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3282228626	
"passports"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3282390739	
"burdens"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3283008641	
"moneylenders"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3289767754	
"deposit"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3290414589	
"taxed"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3292130695	
"chargeback"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.329605626	
"tradeable"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3298360105	
"smallholdings"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3299147169	
"artifacts"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3300010207	
"flsa"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3300462217	
"rosukrenergo"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3301528514	
"consumers"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3305155464	
"debtor"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3307038074	
"hryvnia"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3307409729	
"thangata"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3308422806	
"usernames"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3309754258	
"compensation"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.331163626	
"tokenization"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.331309017	
"intestacy"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3316118028	
"fee"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3323219988	
"preprinted"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3324058553	
"reimbursement"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3327445605	
"rebate"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3328630572	
