word,fam
,no entry
$1,no entry
$150,no entry
$3.1,no entry
$40,no entry
$40billion,no entry
&,no entry
',no entry
'and,no entry
'bye,no entry
'cause,no entry
'em,no entry
'neath,no entry
're,no entry
's,no entry
't,no entry
'twas,no entry
'tween,no entry
'un,no entry
**further/far,no entry
*31 clair,no entry
*31 clat,no entry
*31 cru,no entry
*31 lan,no entry
*31 migr *31,no entry
*31 p *31 e,no entry
*B1 la,no entry
*B1 la carte,no entry
*B1 la mode,no entry
+,no entry
+z,no entry
- 'd,no entry
- 'll,no entry
- 'm,no entry
- 's,no entry
- 've,no entry
- a,no entry
- ability,no entry
- able,no entry
- ade,no entry
- age,no entry
- al,no entry
- an,no entry
- ance,no entry
- ancy,no entry
- andr -,no entry
- ant,no entry
- ar,no entry
- archy,no entry
- ard,no entry
- arian,no entry
- art,no entry
- ary,no entry
- ate,no entry
- ation,no entry
- ative,no entry
- ator,no entry
- based,no entry
- bearded,no entry
- behaved,no entry
- bellied,no entry
- blooded,no entry
- board,no entry
- bodied,no entry
- bore,no entry
- born,no entry
- borne,no entry
- bound,no entry
- boy,no entry
- brained,no entry
- breaker,no entry
- brimmed,no entry
- built,no entry
- burner,no entry
- buster,no entry
- cheeked,no entry
- chested,no entry
- cide,no entry
- comer,no entry
- cornered,no entry
- cracy,no entry
- craft,no entry
- crat,no entry
- cum -,no entry
- cy,no entry
- d,no entry
- decker,no entry
- derm -,no entry
- dimensional,no entry
- doer,no entry
- dom,no entry
- drome,no entry
- dweller,no entry
- eared,no entry
- ed,no entry
- edged,no entry
- ee,no entry
- eer,no entry
- en,no entry
- ence,no entry
- ency,no entry
- engined,no entry
- ent,no entry
- er,no entry
- ery,no entry
- es,no entry
- ese,no entry
- esque,no entry
- ess,no entry
- est,no entry
- ette,no entry
- ey,no entry
- eyed,no entry
- faced,no entry
- fashion,no entry
- favoured,no entry
- figure,no entry
- finder,no entry
- fingered,no entry
- fisted,no entry
- flavoured,no entry
- fold,no entry
- footed,no entry
- footer,no entry
- form,no entry
- former,no entry
- free,no entry
- ful,no entry
- fy,no entry
- gamy,no entry
- goer,no entry
- going,no entry
- gon,no entry
- gram,no entry
- graph,no entry
- gyn -,no entry
- haired,no entry
- handed,no entry
- head,no entry
- headed,no entry
- hearted,no entry
- high,no entry
- holder,no entry
- hood,no entry
- humoured,no entry
- ial,no entry
- ian,no entry
- ibility,no entry
- ible,no entry
- ic,no entry
- ical,no entry
- ics,no entry
- ide,no entry
- ie,no entry
- ier,no entry
- ies,no entry
- iest,no entry
- iform,no entry
- ify,no entry
- in,no entry
- ine,no entry
- ing,no entry
- intentioned,no entry
- ion,no entry
- ise,no entry
- ish,no entry
- ism,no entry
- ist,no entry
- ite,no entry
- itis,no entry
- ity,no entry
- ive,no entry
- ize,no entry
- jowled,no entry
- kin,no entry
- kins,no entry
- latry,no entry
- less,no entry
- let,no entry
- like,no entry
- limbed,no entry
- ling,no entry
- lipped,no entry
- lived,no entry
- log,no entry
- logist,no entry
- logue,no entry
- logy,no entry
- ly,no entry
- making,no entry
- man,no entry
- mannered,no entry
- manship,no entry
- meant,no entry
- ment,no entry
- mentioned,no entry
- meter,no entry
- metre,no entry
- minded,no entry
- minder,no entry
- mo,no entry
- most,no entry
- mouthed,no entry
- n't,no entry
- nd,no entry
- necked,no entry
- ness,no entry
- nik,no entry
- nosed,no entry
- ocracy,no entry
- ocrat,no entry
- oid,no entry
- olatry,no entry
- ologist,no entry
- ology,no entry
- or,no entry
- ory,no entry
- osis,no entry
- otic,no entry
- our,no entry
- ous,no entry
- penny,no entry
- phile,no entry
- philia,no entry
- philiac,no entry
- phobe,no entry
- phobia,no entry
- phobic,no entry
- phone,no entry
- pounder,no entry
- powered,no entry
- prone,no entry
- pronged,no entry
- proof,no entry
- raiser,no entry
- rd,no entry
- read,no entry
- remover,no entry
- rimmed,no entry
- roomed,no entry
- runner,no entry
- ry,no entry
- s,no entry
- s',no entry
- scape,no entry
- seater,no entry
- sexed,no entry
- shaven,no entry
- ship,no entry
- shooter,no entry
- shy,no entry
- sick,no entry
- sided,no entry
- sighted,no entry
- sized,no entry
- skinned,no entry
- sleeved,no entry
- soled,no entry
- some,no entry
- sphere,no entry
- spirited,no entry
- spoken,no entry
- st,no entry
- stemmed,no entry
- ster,no entry
- storeyed,no entry
- style,no entry
- syllabled,no entry
- tailed,no entry
- tempered,no entry
- textured,no entry
- th,no entry
- throated,no entry
- toned,no entry
- tongued,no entry
- toothed,no entry
- tude,no entry
- ular,no entry
- ure,no entry
- ville,no entry
- visaged,no entry
- voiced,no entry
- ward,no entry
- wards,no entry
- ware,no entry
- water,no entry
- ways,no entry
- wheeler,no entry
- willed,no entry
- winger,no entry
- wise,no entry
- witted,no entry
- work,no entry
- worth,no entry
- worthy,no entry
- y,no entry
-(1.7),no entry
-(2.31),no entry
--Y,no entry
-thirsty,no entry
.22,no entry
/,no entry
0,no entry
0.03,no entry
01-387,no entry
01-821,no entry
0272,no entry
0526,no entry
0572.,no entry
0858,no entry
1,no entry
1.1,no entry
1.30pm,no entry
1.6,no entry
1.9p,no entry
10,no entry
10-year-old,no entry
100,no entry
101,no entry
103,no entry
109,no entry
10am,no entry
10p,no entry
10th-,no entry
11,no entry
11-5,no entry
11-point,no entry
11.5p,no entry
11.95,no entry
1118p,no entry
1123,no entry
11am,no entry
11th-century,no entry
12,no entry
12-nation,no entry
124,no entry
13,no entry
13-match,no entry
130,no entry
138,no entry
13th,no entry
14,no entry
1413,no entry
141p,no entry
14p,no entry
14th,no entry
15,no entry
15-odd,no entry
150,no entry
1500,no entry
153p,no entry
156,no entry
1569,no entry
15p,no entry
16,no entry
16-18-year-old,no entry
16-18year-old,no entry
16.5p,no entry
16th-century,no entry
17,no entry
17-6,no entry
17-8,no entry
17.5p,no entry
170p,no entry
173.5x173,no entry
175,no entry
1773,no entry
17th-century,no entry
18,no entry
1826hot,no entry
1829,no entry
1852,no entry
1853,no entry
1870s,no entry
1880s,no entry
1888,no entry
1889,no entry
1890,no entry
1890s,no entry
1891,no entry
1896,no entry
18th-century,no entry
19.6p,no entry
1908,no entry
1910,no entry
1918,no entry
1919,no entry
1923,no entry
1925,no entry
1926,no entry
1927,no entry
1928,no entry
1929,no entry
1930,no entry
1930s,no entry
1932,no entry
1933,no entry
1934,no entry
1936,no entry
1937,no entry
1938,no entry
1939,no entry
1940,no entry
1940s,no entry
1941,no entry
1943,no entry
1944,no entry
1945,no entry
1946,no entry
1947,no entry
1948,no entry
1949,no entry
1950,no entry
1950s,no entry
1952,no entry
1953,no entry
1954,no entry
1955,no entry
1956,no entry
1957,no entry
1958,no entry
1959,no entry
1960s,no entry
1964,no entry
1965,no entry
1967,no entry
1968,no entry
1969,no entry
1970s,no entry
1972,no entry
1974,no entry
1976,no entry
1977,no entry
