"word"	" definition"	" concepts"			
"corporate"	"of or belonging to a corporation"	"rate structure"			
"corporate"	"possessing or existing in bodily form"	"wind incarnate spirit term `corporate breath Shakespeare"			
"corporate"	"done by or characteristic of individuals acting together"	"mind identity good"			
"corporate"	"organized and maintained as a legal corporation"	"agency town form"			
"fatal"	"bringing death"				
"fatal"	"having momentous consequences; of decisive importance"	"meeting election U.N. Korea Saturday North day war Rev"			
"fatal"	"(of events) having extremely unfortunate or dire consequences; bringing ruin"	"defeat war error Friday doctrine battle Douglas MacArthur campaign Charles Darwin stock Black end theory market"			
"fatal"	"controlled or decreed by fate; predetermined"	"event series"			
"out"	"not allowed to continue to bat or run"	"play"			
"out"	"being out or having grown cold"	"cigarette fire stream"			
"out"	"not worth considering as a possibility"	"picnic weather"			
"out"	"out of power; especially having been unsuccessful in an election"	"Democrats"			
"out"	"excluded from use or mention"	"house card fruit taboo dancing playing subject"			
"out"	"directed outward or serving to direct something outward"	"doorway basket"			
"out"	"no longer fashionable"	"day style"			
"out"	"outside or external"	"surface ship hull"			
"out"	"outer or outlying"	"island"			
"out"	"knocked unconscious by a heavy blow"				
"modest"	"marked by simplicity; having a humble opinion of yourself"	"medal apartment"			
"modest"	"not large but sufficient in size or amount"	"salary way inflation"			
"modest"	"free from pomp or affectation"	"brick cottage taste man building"			
"modest"	"not offensive to sexual mores in conduct or appearance"				
"modest"	"low or inferior in station or quality"	"beginning cottage people priest man"			
"modest"	"humble in spirit or manner; suggesting retiring mildness or even cowed submissiveness"	"meek self-effacing"			
"modest"	"limited in size or scope"	"circulation newspaper country plan business"			
"other"	"not the same one or ones already mentioned or implied"	"hearing house side White street ear sex direction person construction book work truth employment Queen today day storage highway"			
"other"	"recently past"	"evening"			
"other"	"belonging to the distant past"	"time generation Europe inhabitant"			
"other"	"very unusual; different in character or quality from the normal or expected"	"Morrow strange power dimension Lance"			
"on"	"in operation or operational"	"switch oven position"			
"on"	"(of events) planned or scheduled"	"shine Friday night picnic nothing rain"			
"like"	"resembling or similar; having the same or some of the same characteristics; often used in combination"	"quality member cat circle pod dreamlike suit disposition mind devotion family pea doglike design"			
"like"	"equal in amount or value"	"blow amount number"			
"like"	"having the same or similar characteristics"	"politician taste friend background"			
"like"	"conforming in every respect"	"box period year dimension"			
"up"	"being or moving higher in position or greater in some value; being above a former position or level"	"face anchor pawn corn market sun"			
"up"	"out of bed"	"morning"			
"up"	"getting higher or more vigorous"	"economy market"			
"up"	"extending or moving toward a higher place"	"movement staircase fish"			
"up"	"(usually followed by `on' or `for') in readiness"	"homework game"			
"up"	"open"	"window"			
"up"	"(used of computers) operating properly"	"computer"			
"up"	"used up"	"time"			
"attractive"	"pleasing to the eye or mind especially through beauty or charm"	"illustration clothes personality man book"			
"attractive"	"having power to arouse interest"	"job opportunity pay"			
"attractive"	"having the properties of a magnet; the ability to draw or pull; "	"force"			
"responsible"	"worthy of or requiring responsibility or trust; or held accountable"	"parliament safety journalism adult position cabinet ship captain"			
"responsible"	"being the agent or cause"	"party damage termite"			
"responsible"	"having an acceptable credit rating"	"borrower"			
"prepared"	"made ready or fit or suitable beforehand"	"statement emergency"			
"prepared"	"having made preparations"	"risk"			
"prepared"	"equipped or prepared with necessary intellectual resources"	"scholar problem graduate"			
"same"	"same in identity"	"road dress street twice man yesterday side"			
"same"	"closely similar or comparable in kind or quality or quantity or degree"	"animal year son mother rule age dimension box girl wall color eye specie day"			
"same"	"equal in amount or value"	"blow amount number"			
"same"	"unchanged in character or nature"	"attitude village"			
"objective"	"undistorted by emotion or personal bias; based on observable phenomena"	"appraisal evidence"			
"objective"	"serving as or indicating the object of a verb or of certain prepositions and used for certain other purposes"	"case ending"			
"objective"	"emphasizing or expressing things as perceived without distortion of personal feelings"	" insertion of fictional matter"	" or interpretation"	"art"	
"objective"	"belonging to immediate experience of actual things or events"	"anything example benefit evidence kind"			
