word	definition	concepts
approach	ideas or actions intended to deal with a problem or situation	plan list pro attack inflation con approach problem
approach	the act of drawing spatially closer to something	approach hunter goose
approach	a way of entering or leaving	turn access bridge
approach	the final path followed by an aircraft as it is landing	
approach	the event of one object coming closer to another	
approach	a tentative suggestion designed to elicit the reactions of others	advance
approach	the temporal property of becoming nearer in time	approach winter
approach	a close approximation	approach
approach	a relatively short golf shot intended to put the ball onto the putting green	hole approach
lead	an advantage held by a competitor in a race	turn lead
lead	a soft heavy toxic malleable metallic element; bluish white when freshly cut but tarnishes readily to dull grey	child soldier
lead	evidence pointing to a possible solution	lead trail police perpetrator
lead	a position of leadership (especially in the phrase `take the lead')	lead group someone
lead	the angle between the direction a gun is aimed and the position of a moving target (correcting for the flight time of the missile)	
lead	the introductory section of a story	lead-in matter
lead	(sports) the score by which a team or individual is winning	
lead	an actor who plays a principal role	
lead	(baseball) the position taken by a base runner preparing to advance to the next base	lead
lead	an indication of potential opportunity	tip stock market job lead
lead	a news story of major importance	
lead	the timing of ignition relative to the position of the piston in an internal-combustion engine	
lead	restraint consisting of a rope (or light chain) used to restrain an animal	
lead	thin strip of metal used to separate lines of type in printing	
lead	mixture of graphite with clay in different degrees of hardness; the marking substance in a pencil	
lead	a jumper that consists of a short piece of wire	clip tangle cable lead jumper
lead	the playing of a card to start a trick in bridge	dummy lead
pound	16 ounces avoirdupois	pound hernia
pound	the basic unit of money in Great Britain and Northern Ireland; equal to 100 pence	
pound	a unit of apothecary weight equal to 12 ounces troy	
pound	the basic unit of money in Syria; equal to 100 piasters	
pound	the basic unit of money in the Sudan; equal to 100 piasters	
pound	the basic unit of money in Lebanon; equal to 100 piasters	
pound	formerly the basic unit of money in Ireland; equal to 100 pence	
pound	the basic unit of money in Egypt; equal to 100 piasters	
pound	the basic unit of money in Cyprus; equal to 100 cents	
pound	a nontechnical unit of force equal to the mass of 1 pound with an acceleration of free fall equal to 32 feet/sec/sec	
pound	United States writer who lived in Europe; strongly influenced the development of modern literature (1885-1972)	
pound	a symbol for a unit of currency (especially for the pound sterling in Great Britain)	
pound	a public enclosure for stray or unlicensed dogs	pound dog
pound	the act of pounding (delivering repeated heavy blows)	guard hallway pounding fist foot hammer
bid	an authoritative direction or instruction to do something	
bid	an attempt to get something	attention power play bid
bid	a formal proposal to buy at a specified price	
bid	(bridge) the number of tricks a bridge player is willing to contract to make	
talk	an exchange of ideas via conversation	let talk work
talk	discussion; (`talk about' is a less formal alternative for `discussion of')	love anger talk poetry
talk	the act of giving a talk to an audience	history talk
talk	a speech that is open to the public	lecture telecommunication
talk	idle gossip or rumor	
in	a unit of length equal to one twelfth of a foot	
in	a rare soft silvery metallic element; occurs in small quantities in sphalerite	
in	a state in midwestern United States	
make	a recognizable kind	brand make movie hero car
make	the act of mixing cards haphazardly	
he	a very light colorless element that is one of the six inert gasses; the most difficult gas to liquefy; occurs in economically extractable amounts in certain natural gases (as those found in Texas and Kansas)	
he	the 5th letter of the Hebrew alphabet	
group	any number of entities (members) considered as a unit	
group	(chemistry) two or more atoms bound together as a single unit and forming part of a molecule	
group	a set that is closed, associative, has an identity element and every element has an inverse	
target	a reference point to shoot at	mark arrow
target	a person who is the aim of an attack (especially a victim of ridicule or exploitation) by some hostile person or influence	mugger game everyone manhunt target
target	the location of the target that is to be hit	
target	sports equipment consisting of an object set up for a marksman or archer to aim at	
target	the goal intended to be attained (and which is believed to be attainable)	child trip object
facility	a building or place that provides a particular service or is used for a particular industry	plant facility assembly
facility	skillful performance or ability without difficulty	design adeptness product archer facility
facility	a natural effortlessness	Jane facility readiness Austen conversation
facility	something designed and created to serve a particular function and to afford a particular convenience or service	facility toilet catering
facility	a service that an organization or a piece of equipment offers you	internet facility phone cell
head	the upper part of the human body or the front part of the body in animals; contains the face and brains	window head
head	a single domestic animal	cattle head
head	that which is responsible for one's thoughts and feelings; the seat of the faculty of reason	mind head word
head	a person who is in charge	operation head
head	the front of a military formation or procession	attack column head
head	the pressure exerted by a fluid	steam head
head	the top of something	page list stair head
head	the source of water from which a stream arises	stream head
head	(grammar) the word in a grammatical constituent that plays the same grammatical role as the whole constituent	
