"word"	"definition"	"concepts"
"reveal"	"make visible"	"clothes Summer"
"reveal"	"make known to the public information that was previously known only to a few people or that was meant to be kept a secret"	"Gogh price actress murder van case evidence news auction truth house"
"reveal"	"disclose directly or through prophets"	"Mankind God plan"
"approach"	"move towards"	"army enemy destination"
"approach"	"come near or verge on, resemble, come nearer in quality, or character"	"discrimination playing Horowitz approach border"
"approach"	"begin to deal with"	"problem approach task project"
"approach"	"come near in time"	"age Winter"
"approach"	"make advances to someone, usually with a proposal or suggestion"	"matter adviser President"
"be"	"have the quality of being; (copula, used with an adjective or a predicate noun)"	"answer John"
"be"	"be identical to; be someone or something"	"Smith president John company house"
"be"	"occupy a certain position or area; be somewhere"	"toolshed umbrella back behavior"
"be"	"have an existence, be extant"	"God"
"be"	"happen, occur, take place; this was during the visit to my parents' house"""	"wallet noise kitchen people lot"
"be"	"be identical or equivalent to"	"day equal dollar ruble"
"be"	"form or compose"	"sum backdrop stone wall belonging performance child year army income chorus money men"
"be"	"work in a specific place, with a specific subject, or in a specific function"	"philosopher resident herpetologist"
"be"	"represent, as of a character on stage"	"Derek Hamlet Jacobi"
"be"	"spend or use time"	"hour"
"be"	"have life, be alive"	"end war leader grandfather"
"be"	"to remain unmolested, undisturbed, or uninterrupted -- used only in infinitive form"	
"be"	"be priced at"	"shoe"
"lead"	"take somebody somewhere"	"palace chief entrance"
"lead"	"have as a result or residue"	"mark silk napkin water dress stain blood"
"lead"	"tend to or result in"	"remark guest argument lead"
"lead"	"travel in front of; go in advance of others"	"John procession"
"lead"	"cause to undertake a certain action"	"check greed"
"lead"	"stretch out over a distance, space, time, or scope; run or extend between two points or beyond a certain point"	"consideration memory year fact way asset life knowledge Service"
"lead"	"be in charge of"	"project"
"lead"	"be ahead of others; be the first"	"year class"
"lead"	"be conducive to"	"computer use classroom lead"
"lead"	"lead, as in the performance of a composition; Barenboim conducted the Chicago symphony for years"""	"orchestra conduct"
"lead"	"lead, extend, or afford access"	"South road basement door"
"lead"	"move ahead (of others) in time or space"	
"lead"	"cause something to pass or lead somewhere"	"cabinet wire"
"lead"	"preside over"	"discussion John"
"pound"	"hit hard with the hand, fist, or some heavy instrument"	"salesman Baptist knocker door"
"pound"	"strike or drive against with a heavy impact"	"pound gate door sledgehammer"
"pound"	"move heavily or clumsily"	"man room"
"pound"	"move rhythmically"	"heart"
"pound"	"partition off into compartments"	"water pound canal lock"
"pound"	"shut up or confine in any enclosure or within any bounds or limits"	"prisoner"
"pound"	"place or shut up in a pound"	"pound cow"
"pound"	"break down and crush by beating, as with a pestle"	"stone pound root"
"bid"	"propose a payment"	"dealer painting"
"bid"	"invoke upon"	"bid wish evening farewell"
"bid"	"ask for or request earnestly"	"bid people prophet person"
"bid"	"make a demand, as for a card or a suit or a show of hands"	"trump"
"bid"	"make a serious effort to attain something"	"bid population campaign attention"
"bid"	"ask someone in a friendly way to do something"	
"talk"	"exchange thoughts; talk with"	"word business Actions"
"talk"	"express in speech"	"nonsense lot patient"
"talk"	"use language"	"talk dialect baby prisoner"
"talk"	"reveal information"	"employee detail"
"talk"	"divulge confidential information or secrets"	"talk secretary Be"
"talk"	"deliver a lecture or talk"	"Did Harvard Rutgers week"
"appear"	"give a certain impression or have a certain outward aspect"	"problem time people project"
"appear"	"come into sight or view"	"star horizon wedding"
"appear"	"be issued or published"	"Allen appear book Did Woody film"
"appear"	"seem to be true, probable, or apparent"	"California weather"
"appear"	"come into being or existence, or appear on the scene"	"Homo million sapiens year computer life"
"appear"	"appear as a character on stage or appear in a play, etc."	"briefly stage Gielgud London movie `Hamlet"
"appear"	"present oneself formally, as before a (judicial) authority"	"month court theft charge"
"have"	"have or possess, either in a concrete or an abstract sense"	"bank daughter Harvard degree Master"
"have"	"have as a feature"	"restaurant France chef"
"have"	"go through (mental or physical states or experiences)"	"vertigo get feeling experience idea injury"
"have"	"have ownership or possession of"	"car house Florida"
"have"	"cause to move; cause to be in a certain position or condition"	"trouble let squad ball surprise girl"
"have"	"serve oneself to, or consume regularly"	"sugar chicken bowl coffee soup"
"have"	"have a personal or business relationship with someone"	"assistant postdoc lover"
"have"	"organize or be responsible for"	"reception party course"
"have"	"have left"	"money year"
"have"	"be confronted with"	"mess"
"have"	"undergo"	"stock run-up"
"have"	"suffer from; be ill with"	"arthritis"
"have"	"cause to do; cause to act in a specified manner"	"child VCR wife computer sofa ad"
"have"	"receive willingly something given or offered"	"daughter dog miller Please girl house"
"have"	"get something; come into possession of"	"payment letter gift front"
"have"	"undergo (as of injuries and illnesses)"	"shock accident bar arm candy leg scuffle bruise broken fracture insulin"
"have"	"achieve a point or goal"	"point day team Nicklaus goal"
"have"	"cause to be born"	"twin yesterday wife"
"have"	"have sex with; archaic use"	"woman"
"make"	"engage in"	"nothing effort love research war revolution"
"make"	"give certain properties to something"	"someone mad fool invention millionaire deal meeting Make"
"make"	"make or cause to be or to become"	"office mess furor"
"make"	"cause to do; cause to act in a specified manner"	"child VCR wife computer sofa ad"
"make"	"give rise to; cause to happen or occur, not always intentionally"	"accident stir cause commotion"
"make"	"create or manufacture a man-made product"	"century toy car company"
"make"	"make, formulate, or derive in the mind"	"line estimate parallel draw remark conclusion"
"make"	"compel or make somebody or something to act in a certain way"	"People Heat law"
"make"	"create by artistic means"	"poem music Schoenberg Auden Picasso verse Cubism"
"make"	"earn on some commercial or business transaction; earn as salary or wages"	"lot merger money month job"
"make"	"create or design, often in a certain way"	"piece love forest room wood"
"make"	"to compose or represent:""This wall forms the background of the stage setting"""	"introduction roof branch"
"make"	"reach a goal, e.g., ""make the first team"""	"grade"
"make"	"be or be capable of being changed or made into"	"father host"
"make"	"make by shaping or bringing together constituents"	"stone wall cake dress"
"make"	"perform or carry out"	"advance call move phone decision make"
