"category"	"property"	"pos"	"pos_met"	"neg"	"neg_met"
"perceptual"	"warm"	"soup water coat "	"feelings atmosphere "	"ice bikini ice_cream "	"idea thought argument"
"perceptual"	"hot"	"soup tea coffee heating fire"	"anger argument outfit bikini"	"table ice_cube "	"happiness thought puzzle problem "
"perceptual"	"red"	"tomato paint strawberry t-shirt"	"anger "	"rasperry blueberry carrot"	"fear thought argument"
"perceptual"	"square"	"laptop table newspaper book desk "		"mug carrot pen "	"text report program"
"perceptual"	"green"	"grass broccoli spinach paint t-shirt"	"party policy idea government agenda"	"tomato daisy carrot"	"argument problem discussion debate "
"perceptual"	"cold"	"ice_cream water snow "	"hatred atmosphere "	"tea soup heating fire"	"love idea problem happiness"
"perceptual"	"sweet"	"strawberry cake desert "	"gesture baby gift thought"	"cucumber lime cheese "	"hatred problem argument debate"
"perceptual"	"blue"	"sky paint t-shirt blueberry forget-me-no bellflower swimming_pool"	"feelings Monday "	"pond rasperry strawberry daisy dandelion "	"Tuesday thoughts problem discussion"
"perceptual"	"yellow"	"paint t-shirt lemon pineapple marigold  crane canary"			
"perceptual"	"round"	"lemon apple pen candle "			
"perceptual"	"black"	"paint t-shirt cloud coal pupil hair coffee "	"Friday day humor satire market death  "	"sun rain milk "	"supermarket debate discussion "
"perceptual"	"juicy"	"pineapple meat steak burger shrimp"	"story rumor report "	"banana potato "	"discussion newspapaper  emotion feeling"
"complex"	"dangerous"	"fire knife gun malaria tiger virus plot terrorism war attack conspiracy"		"dinner_knife fork immitation_gun toy_gun peace "	
"complex"	"found_in_seas"	"shrimp whale bass treasure sand turtle"		"violin carp trout crocodile tortoise"	
"complex"	"used_in_cooking"	"shrimp bass chicken "		"sparrow violin canary"	
"complex"	"female"	"woman queen bitch princess actress"		"king man prince actor"	
"parts"	"wheels"	"train car carriage unicycle sedan"		"sled sleigh ship boat sedan"	
"parts"	"wings"	"crane chicken airplane"		"helicopter kite hot_air_balloon "	
"parts"	"made_of_wood"	"bass flute chair table boat guitar violin pencil"		"trumpet saxophone laptop pen"	
"activities"	"swim"	"bass dog cat ship human whale tortoise"		"turtle "	
"activities"	"roll"	"bowling_ball candle pen "		"tennis_racket pins "	
"activities"	"lay_eggs"	"crane chicken bass platypus whale turtle tortoise "		"whale"	
"activities"	"fly"	"crane seagull plane kite helicopter hot_air_balloon"		"penguin ostrich turtle tortoise car ship boat"	
