concept,label,categories_str,sources_str,certainty
ball,pos,does_roll roll,cslb conceptnet,not_certain
barrel,pos,does_roll,cslb,not_certain
marble,pos,does_roll,cslb,not_certain
pig,pos,does_roll,cslb,not_certain
rollerskate,pos,does_roll,cslb,not_certain
rolling_pin,pos,does_roll,cslb,not_certain
skateboard,pos,does_roll,cslb,not_certain
tyre,pos,does_roll,cslb,not_certain
wheel,pos,does_roll,cslb,not_certain
wheeled_vehicle,pos,roll,conceptnet,not_certain
bowling_ball,pos,pos,manually_included,certain
candle,pos,pos,manually_included,certain
pen,pos,pos,manually_included,certain
,neg,neg_met,manually_included,certain
tennis_racket,neg,neg,manually_included,certain
pins,neg,neg,manually_included,certain
