concept,label,categories_str,sources_str,certainty
minnow,pos,fish does_swim,cslb_crowd_pos cslb wn_hypernym,certain
locust,neg,does_swim,cslb_crowd_neg,certain
dragonfly,neg,does_swim,cslb_crowd_neg,certain
alligator,pos,reptile does_swim,cslb wn_hypernym,not_certain
beaver,pos,mammal does_swim,cslb wn_hypernym,not_certain
carp,pos,fish does_swim,cslb wn_hypernym,not_certain
cod,pos,fish does_swim,cslb wn_hypernym,not_certain
crocodile,pos,reptile does_swim,cslb wn_hypernym,not_certain
dolphin,pos,mammal fish does_swim,cslb wn_hypernym,not_certain
duck,pos,bird does_swim,cslb wn_hypernym,not_certain
eel,pos,fish does_swim,cslb wn_hypernym,not_certain
flounder,pos,fish does_swim,cslb wn_hypernym,not_certain
frog,pos,does_swim,cslb,not_certain
goldfish,pos,fish does_swim,cslb wn_hypernym,not_certain
goose,pos,bird does_swim,cslb wn_hypernym,not_certain
herring,pos,fish does_swim,cslb wn_hypernym,not_certain
hippo,pos,mammal does_swim,cslb wn_hypernym,not_certain
jellyfish,pos,does_swim,cslb,not_certain
mackerel,pos,fish does_swim,cslb wn_hypernym,not_certain
octopus,pos,does_swim,cslb,not_certain
otter,pos,mammal does_swim,cslb wn_hypernym,not_certain
pelican,pos,bird does_swim,cslb wn_hypernym,not_certain
penguin,pos,bird does_swim,cslb wn_hypernym,not_certain
platypus,pos,mammal does_swim,cslb wn_hypernym,not_certain
prawn,pos,does_swim,cslb,not_certain
salmon,pos,fish does_swim,cslb wn_hypernym,not_certain
sardine,pos,fish does_swim,cslb wn_hypernym,not_certain
seahorse,pos,mammal fish does_swim,cslb wn_hypernym,not_certain
seal_(animal),pos,does_swim,cslb,not_certain
shark,pos,fish swim does_swim,cslb wn_hypernym conceptnet,not_certain
shrimp,pos,does_swim,cslb,not_certain
squid,pos,does_swim,cslb,not_certain
swan,pos,bird does_swim,cslb wn_hypernym,not_certain
toad,pos,does_swim,cslb,not_certain
trout,pos,fish does_swim,cslb wn_hypernym,not_certain
tuna,pos,fish does_swim,cslb wn_hypernym,not_certain
turtle,pos,reptile does_swim reptile does_swim,cslb wn_hypernym manually_included,certain
walrus,pos,mammal does_swim,cslb wn_hypernym,not_certain
whale,pos,mammal does_swim mammal does_swim,cslb wn_hypernym manually_included,certain
fish,pos,fish swim,wn_hypernym conceptnet,not_certain
bony_fish,pos,fish,wn_hypernym,not_certain
bottom-dweller,pos,fish,wn_hypernym,not_certain
bottom-feeder,pos,fish,wn_hypernym,not_certain
bottom_lurkers,pos,fish,wn_hypernym,not_certain
chondrichthian,pos,fish,wn_hypernym,not_certain
cartilaginous_fish,pos,fish,wn_hypernym,not_certain
A._testudineus,pos,fish,wn_hypernym,not_certain
Anabas_testudineus,pos,fish,wn_hypernym,not_certain
climbing_perch,pos,fish,wn_hypernym,not_certain
fingerling,pos,fish,wn_hypernym,not_certain
food_fish,pos,fish,wn_hypernym,not_certain
game_fish,pos,fish,wn_hypernym,not_certain
sport_fish,pos,fish,wn_hypernym,not_certain
mouthbreeder,pos,fish,wn_hypernym,not_certain
northern_snakehead,pos,fish,wn_hypernym,not_certain
rough_fish,pos,fish,wn_hypernym,not_certain
spawner,pos,fish,wn_hypernym,not_certain
young_fish,pos,fish,wn_hypernym,not_certain
crossopterygian,pos,fish,wn_hypernym,not_certain
lobe-finned_fish,pos,fish,wn_hypernym,not_certain
lobefin,pos,fish,wn_hypernym,not_certain
lungfish,pos,fish,wn_hypernym,not_certain
teleostan,pos,fish,wn_hypernym,not_certain
teleost,pos,fish,wn_hypernym,not_certain
teleost_fish,pos,fish,wn_hypernym,not_certain
mullet,pos,fish,wn_hypernym,not_certain
elasmobranch,pos,fish,wn_hypernym,not_certain
selachian,pos,fish,wn_hypernym,not_certain
holocephalian,pos,fish,wn_hypernym,not_certain
holocephalan,pos,fish,wn_hypernym,not_certain
snoek,pos,fish,wn_hypernym,not_certain
barracouta,pos,fish,wn_hypernym,not_certain
groundfish,pos,fish,wn_hypernym,not_certain
bottom_fish,pos,fish,wn_hypernym,not_certain
Clupea_harangus,pos,fish,wn_hypernym,not_certain
sea_bass,pos,fish,wn_hypernym,not_certain
shad,pos,fish,wn_hypernym,not_certain
snapper,pos,fish reptile,wn_hypernym,not_certain
sole,pos,fish,wn_hypernym,not_certain
tunny,pos,fish,wn_hypernym,not_certain
whitefish,pos,fish,wn_hypernym,not_certain
brit,pos,fish,wn_hypernym,not_certain
britt,pos,fish,wn_hypernym,not_certain
parr,pos,fish,wn_hypernym,not_certain
whitebait,pos,fish,wn_hypernym,not_certain
coelacanth,pos,fish,wn_hypernym,not_certain
Latimeria_chalumnae,pos,fish,wn_hypernym,not_certain
ceratodus,pos,fish,wn_hypernym,not_certain
cornetfish,pos,fish,wn_hypernym,not_certain
flying_fish,pos,fish,wn_hypernym,not_certain
ganoid,pos,fish,wn_hypernym,not_certain
ganoid_fish,pos,fish,wn_hypernym,not_certain
halfbeak,pos,fish,wn_hypernym,not_certain
billfish,pos,fish,wn_hypernym,not_certain
gar,pos,fish,wn_hypernym,not_certain
needlefish,pos,fish,wn_hypernym,not_certain
pipefish,pos,fish,wn_hypernym,not_certain
saury,pos,fish,wn_hypernym,not_certain
Scomberesox_saurus,pos,fish,wn_hypernym,not_certain
shrimp-fish,pos,fish,wn_hypernym,not_certain
shrimpfish,pos,fish,wn_hypernym,not_certain
bellows_fish,pos,fish,wn_hypernym,not_certain
snipefish,pos,fish,wn_hypernym,not_certain
soft-finned_fish,pos,fish,wn_hypernym,not_certain
malacopterygian,pos,fish,wn_hypernym,not_certain
spiny-finned_fish,pos,fish,wn_hypernym,not_certain
acanthopterygian,pos,fish,wn_hypernym,not_certain
sweeper,pos,fish,wn_hypernym,not_certain
trumpetfish,pos,fish,wn_hypernym,not_certain
Aulostomus_maculatus,pos,fish,wn_hypernym,not_certain
Mullus_surmuletus,pos,fish,wn_hypernym,not_certain
red_mullet,pos,fish,wn_hypernym,not_certain
goatfish,pos,fish,wn_hypernym,not_certain
surmullet,pos,fish,wn_hypernym,not_certain
ray,pos,fish,wn_hypernym,not_certain
chimaera,pos,fish,wn_hypernym,not_certain
Clupea_harengus_harengus,pos,fish,wn_hypernym,not_certain
Atlantic_herring,pos,fish,wn_hypernym,not_certain
Clupea_harengus_pallasii,pos,fish,wn_hypernym,not_certain
Pacific_herring,pos,fish,wn_hypernym,not_certain
Atlantic_salmon,pos,fish,wn_hypernym,not_certain
Salmo_salar,pos,fish,wn_hypernym,not_certain
blackfish,pos,mammal fish,wn_hypernym,not_certain
chinook_salmon,pos,fish,wn_hypernym,not_certain
king_salmon,pos,fish,wn_hypernym,not_certain
chinook,pos,fish,wn_hypernym,not_certain
Oncorhynchus_tshawytscha,pos,fish,wn_hypernym,not_certain
quinnat_salmon,pos,fish,wn_hypernym,not_certain
chum,pos,fish,wn_hypernym,not_certain
chum_salmon,pos,fish,wn_hypernym,not_certain
Oncorhynchus_keta,pos,fish,wn_hypernym,not_certain
coho_salmon,pos,fish,wn_hypernym,not_certain
Oncorhynchus_kisutch,pos,fish,wn_hypernym,not_certain
blue_jack,pos,fish,wn_hypernym,not_certain
silver_salmon,pos,fish,wn_hypernym,not_certain
coho,pos,fish,wn_hypernym,not_certain
cohoe,pos,fish,wn_hypernym,not_certain
redfish,pos,fish,wn_hypernym,not_certain
sockeye,pos,fish,wn_hypernym,not_certain
blueback_salmon,pos,fish,wn_hypernym,not_certain
sockeye_salmon,pos,fish,wn_hypernym,not_certain
Oncorhynchus_nerka,pos,fish,wn_hypernym,not_certain
red_salmon,pos,fish,wn_hypernym,not_certain
sprat,pos,fish,wn_hypernym,not_certain
Clupea_sprattus,pos,fish,wn_hypernym,not_certain
brisling,pos,fish,wn_hypernym,not_certain
sild,pos,fish,wn_hypernym,not_certain
belted_sandfish,pos,fish,wn_hypernym,not_certain
Serranus_subligarius,pos,fish,wn_hypernym,not_certain
black_bass,pos,fish,wn_hypernym,not_certain
Centropistes_striata,pos,fish,wn_hypernym,not_certain
black_sea_bass,pos,fish,wn_hypernym,not_certain
blackmouth_bass,pos,fish,wn_hypernym,not_certain
Synagrops_bellus,pos,fish,wn_hypernym,not_certain
grouper,pos,fish,wn_hypernym,not_certain
Centropristis_philadelphica,pos,fish,wn_hypernym,not_certain
rock_sea_bass,pos,fish,wn_hypernym,not_certain
rock_bass,pos,fish,wn_hypernym,not_certain
wreckfish,pos,fish,wn_hypernym,not_certain
stone_bass,pos,fish,wn_hypernym,not_certain
Polyprion_americanus,pos,fish,wn_hypernym,not_certain
Roccus_saxatilis,pos,fish,wn_hypernym,not_certain
rockfish,pos,fish,wn_hypernym,not_certain
striped_bass,pos,fish,wn_hypernym,not_certain
striper,pos,fish,wn_hypernym,not_certain
allis,pos,fish,wn_hypernym,not_certain
Alosa_alosa,pos,fish,wn_hypernym,not_certain
allice,pos,fish,wn_hypernym,not_certain
allice_shad,pos,fish,wn_hypernym,not_certain
allis_shad,pos,fish,wn_hypernym,not_certain
common_American_shad,pos,fish,wn_hypernym,not_certain
Alosa_sapidissima,pos,fish,wn_hypernym,not_certain
Alosa_chrysocloris,pos,fish,wn_hypernym,not_certain
river_shad,pos,fish,wn_hypernym,not_certain
mangrove_snapper,pos,fish,wn_hypernym,not_certain
grey_snapper,pos,fish,wn_hypernym,not_certain
Lutjanus_griseus,pos,fish,wn_hypernym,not_certain
gray_snapper,pos,fish,wn_hypernym,not_certain
mutton_snapper,pos,fish,wn_hypernym,not_certain
muttonfish,pos,fish,wn_hypernym,not_certain
Lutjanus_analis,pos,fish,wn_hypernym,not_certain
red_snapper,pos,fish,wn_hypernym,not_certain
Lutjanus_blackfordi,pos,fish,wn_hypernym,not_certain
schoolmaster,pos,fish,wn_hypernym,not_certain
Lutjanus_apodus,pos,fish,wn_hypernym,not_certain
yellowtail,pos,fish,wn_hypernym,not_certain
Ocyurus_chrysurus,pos,fish,wn_hypernym,not_certain
yellowtail_snapper,pos,fish,wn_hypernym,not_certain
lemon_sole,pos,fish,wn_hypernym,not_certain
English_sole,pos,fish,wn_hypernym,not_certain
Parophrys_vitulus,pos,fish,wn_hypernym,not_certain
Solea_solea,pos,fish,wn_hypernym,not_certain
European_sole,pos,fish,wn_hypernym,not_certain
Trinectes_maculatus,pos,fish,wn_hypernym,not_certain
hogchoker,pos,fish,wn_hypernym,not_certain
Solea_lascaris,pos,fish,wn_hypernym,not_certain
Psettichthys_melanostichus,pos,fish,wn_hypernym,not_certain
sand_sole,pos,fish,wn_hypernym,not_certain
speckled_trout,pos,fish,wn_hypernym,not_certain
brook_trout,pos,fish,wn_hypernym,not_certain
Salvelinus_fontinalis,pos,fish,wn_hypernym,not_certain
Salmo_trutta,pos,fish,wn_hypernym,not_certain
brown_trout,pos,fish,wn_hypernym,not_certain
salmon_trout,pos,fish,wn_hypernym,not_certain
Salvelinus_namaycush,pos,fish,wn_hypernym,not_certain
lake_trout,pos,fish,wn_hypernym,not_certain
rainbow_trout,pos,fish,wn_hypernym,not_certain
Salmo_gairdneri,pos,fish,wn_hypernym,not_certain
Thunnus_alalunga,pos,fish,wn_hypernym,not_certain
long-fin_tunny,pos,fish,wn_hypernym,not_certain
albacore,pos,fish,wn_hypernym,not_certain
bluefin_tuna,pos,fish,wn_hypernym,not_certain
horse_mackerel,pos,fish,wn_hypernym,not_certain
bluefin,pos,fish,wn_hypernym,not_certain
Thunnus_thynnus,pos,fish,wn_hypernym,not_certain
yellowfin,pos,fish,wn_hypernym,not_certain
Thunnus_albacares,pos,fish,wn_hypernym,not_certain
yellowfin_tuna,pos,fish,wn_hypernym,not_certain
Coregonus_artedi,pos,fish,wn_hypernym,not_certain
cisco,pos,fish,wn_hypernym,not_certain
lake_herring,pos,fish,wn_hypernym,not_certain
Coregonus_clupeaformis,pos,fish,wn_hypernym,not_certain
lake_whitefish,pos,fish,wn_hypernym,not_certain
Prosopium_williamsonii,pos,fish,wn_hypernym,not_certain
Rocky_Mountain_whitefish,pos,fish,wn_hypernym,not_certain
round_whitefish,pos,fish,wn_hypernym,not_certain
Prosopium_cylindraceum,pos,fish,wn_hypernym,not_certain
Menominee_whitefish,pos,fish,wn_hypernym,not_certain
four-wing_flying_fish,pos,fish,wn_hypernym,not_certain
biplane_flying_fish,pos,fish,wn_hypernym,not_certain
monoplane_flying_fish,pos,fish,wn_hypernym,not_certain
two-wing_flying_fish,pos,fish,wn_hypernym,not_certain
Amia_calva,pos,fish,wn_hypernym,not_certain
bowfin,pos,fish,wn_hypernym,not_certain
dogfish,pos,fish,wn_hypernym,not_certain
grindle,pos,fish,wn_hypernym,not_certain
Chinese_paddlefish,pos,fish,wn_hypernym,not_certain
Psephurus_gladis,pos,fish,wn_hypernym,not_certain
garfish,pos,fish,wn_hypernym,not_certain
Lepisosteus_osseus,pos,fish,wn_hypernym,not_certain
garpike,pos,fish,wn_hypernym,not_certain
duckbill,pos,mammal fish,wn_hypernym,not_certain
paddlefish,pos,fish,wn_hypernym,not_certain
Polyodon_spathula,pos,fish,wn_hypernym,not_certain
sturgeon,pos,fish,wn_hypernym,not_certain
timucu,pos,fish,wn_hypernym,not_certain
Cosmocampus_profundus,pos,fish,wn_hypernym,not_certain
deepwater_pipefish,pos,fish,wn_hypernym,not_certain
Syngnathus_hildebrandi,pos,fish,wn_hypernym,not_certain
dwarf_pipefish,pos,fish,wn_hypernym,not_certain
sea_horse,pos,mammal fish,wn_hypernym,not_certain
anchovy,pos,fish,wn_hypernym,not_certain
argentine,pos,fish,wn_hypernym,not_certain
Gonorhynchus_gonorhynchus,pos,fish,wn_hypernym,not_certain
sandfish,pos,fish,wn_hypernym,not_certain
beaked_salmon,pos,fish,wn_hypernym,not_certain
bonefish,pos,fish,wn_hypernym,not_certain
Albula_vulpes,pos,fish,wn_hypernym,not_certain
catfish,pos,fish,wn_hypernym,not_certain
siluriform_fish,pos,fish,wn_hypernym,not_certain
clupeid_fish,pos,fish,wn_hypernym,not_certain
clupeid,pos,fish,wn_hypernym,not_certain
cypriniform_fish,pos,fish,wn_hypernym,not_certain
gadoid,pos,fish,wn_hypernym,not_certain
gadoid_fish,pos,fish,wn_hypernym,not_certain
greeneye,pos,fish,wn_hypernym,not_certain
handsaw_fish,pos,fish,wn_hypernym,not_certain
lancetfish,pos,fish,wn_hypernym,not_certain
lancet_fish,pos,fish,wn_hypernym,not_certain
wolffish,pos,fish,wn_hypernym,not_certain
lanternfish,pos,fish,wn_hypernym,not_certain
snakefish,pos,fish,wn_hypernym,not_certain
lizardfish,pos,fish,wn_hypernym,not_certain
snake-fish,pos,fish,wn_hypernym,not_certain
Lampris_guttatus,pos,fish,wn_hypernym,not_certain
New_World_opah,pos,fish,wn_hypernym,not_certain
Regalecus_glesne,pos,fish,wn_hypernym,not_certain
king_of_the_herring,pos,fish,wn_hypernym,not_certain
oarfish,pos,fish,wn_hypernym,not_certain
ribbonfish,pos,fish,wn_hypernym,not_certain
opah,pos,fish,wn_hypernym,not_certain
moonfish,pos,fish,wn_hypernym,not_certain
Lampris_regius,pos,fish,wn_hypernym,not_certain
Ostariophysi,pos,fish,wn_hypernym,not_certain
order_Ostariophysi,pos,fish,wn_hypernym,not_certain
salmonid,pos,fish,wn_hypernym,not_certain
smelt,pos,fish,wn_hypernym,not_certain
Tarpon_atlanticus,pos,fish,wn_hypernym,not_certain
tarpon,pos,fish,wn_hypernym,not_certain
anomalops,pos,fish,wn_hypernym,not_certain
flashlight_fish,pos,fish,wn_hypernym,not_certain
barracuda,pos,fish,wn_hypernym,not_certain
batfish,pos,fish,wn_hypernym,not_certain
boarfish,pos,fish,wn_hypernym,not_certain
Capros_aper,pos,fish,wn_hypernym,not_certain
dory,pos,fish,wn_hypernym,not_certain
dragonet,pos,fish,wn_hypernym,not_certain
Photoblepharon_palpebratus,pos,fish,wn_hypernym,not_certain
flatfish,pos,fish,wn_hypernym,not_certain
frogfish,pos,fish,wn_hypernym,not_certain
angler,pos,fish,wn_hypernym,not_certain
angler_fish,pos,fish,wn_hypernym,not_certain
allmouth,pos,fish,wn_hypernym,not_certain
lotte,pos,fish,wn_hypernym,not_certain
Lophius_Americanus,pos,fish,wn_hypernym,not_certain
monkfish,pos,fish,wn_hypernym,not_certain
goosefish,pos,fish,wn_hypernym,not_certain
anglerfish,pos,fish,wn_hypernym,not_certain
percoidean,pos,fish,wn_hypernym,not_certain
percoid,pos,fish,wn_hypernym,not_certain
percoid_fish,pos,fish,wn_hypernym,not_certain
plectognath,pos,fish,wn_hypernym,not_certain
plectognath_fish,pos,fish,wn_hypernym,not_certain
suckerfish,pos,fish,wn_hypernym,not_certain
remora,pos,fish,wn_hypernym,not_certain
sucking_fish,pos,fish,wn_hypernym,not_certain
sand_eel,pos,fish,wn_hypernym,not_certain
launce,pos,fish,wn_hypernym,not_certain
sand_lance,pos,fish,wn_hypernym,not_certain
sand_launce,pos,fish,wn_hypernym,not_certain
sargassum_fish,pos,fish,wn_hypernym,not_certain
scorpaenoid_fish,pos,fish,wn_hypernym,not_certain
scorpaenoid,pos,fish,wn_hypernym,not_certain
silversides,pos,fish,wn_hypernym,not_certain
silverside,pos,fish,wn_hypernym,not_certain
squirrelfish,pos,fish,wn_hypernym,not_certain
stickleback,pos,fish,wn_hypernym,not_certain
prickleback,pos,fish,wn_hypernym,not_certain
Opsanus_tau,pos,fish,wn_hypernym,not_certain
toadfish,pos,fish,wn_hypernym,not_certain
red_goatfish,pos,fish,wn_hypernym,not_certain
Mullus_auratus,pos,fish,wn_hypernym,not_certain
Mulloidichthys_martinicus,pos,fish,wn_hypernym,not_certain
yellow_goatfish,pos,fish,wn_hypernym,not_certain
eagle_ray,pos,fish,wn_hypernym,not_certain
numbfish,pos,fish,wn_hypernym,not_certain
torpedo,pos,fish,wn_hypernym,not_certain
crampfish,pos,fish,wn_hypernym,not_certain
electric_ray,pos,fish,wn_hypernym,not_certain
guitarfish,pos,fish,wn_hypernym,not_certain
manta,pos,fish,wn_hypernym,not_certain
manta_ray,pos,fish,wn_hypernym,not_certain
devilfish,pos,mammal fish,wn_hypernym,not_certain
sawfish,pos,fish,wn_hypernym,not_certain
skate,pos,fish,wn_hypernym,not_certain
stingray,pos,fish,wn_hypernym,not_certain
angelfish,pos,fish,wn_hypernym,not_certain
Squatina_squatina,pos,fish,wn_hypernym,not_certain
angel_shark,pos,fish,wn_hypernym,not_certain
Orectolobus_barbatus,pos,fish,wn_hypernym,not_certain
carpet_shark,pos,fish,wn_hypernym,not_certain
cat_shark,pos,fish,wn_hypernym,not_certain
cow_shark,pos,fish,wn_hypernym,not_certain
six-gilled_shark,pos,fish,wn_hypernym,not_certain
Hexanchus_griseus,pos,fish,wn_hypernym,not_certain
hammerhead,pos,fish,wn_hypernym,not_certain
hammerhead_shark,pos,fish,wn_hypernym,not_certain
mackerel_shark,pos,fish,wn_hypernym,not_certain
Ginglymostoma_cirratum,pos,fish,wn_hypernym,not_certain
nurse_shark,pos,fish,wn_hypernym,not_certain
requiem_shark,pos,fish,wn_hypernym,not_certain
sand_shark,pos,fish,wn_hypernym,not_certain
Carcharias_taurus,pos,fish,wn_hypernym,not_certain
sand_tiger,pos,fish,wn_hypernym,not_certain
Odontaspis_taurus,pos,fish,wn_hypernym,not_certain
thresher,pos,fish,wn_hypernym,not_certain
fox_shark,pos,fish,wn_hypernym,not_certain
thrasher,pos,fish bird,wn_hypernym,not_certain
Alopius_vulpinus,pos,fish,wn_hypernym,not_certain
thresher_shark,pos,fish,wn_hypernym,not_certain
Rhincodon_typus,pos,fish,wn_hypernym,not_certain
whale_shark,pos,fish,wn_hypernym,not_certain
Chimaera_monstrosa,pos,fish,wn_hypernym,not_certain
rabbitfish,pos,fish,wn_hypernym,not_certain
lake_salmon,pos,fish,wn_hypernym,not_certain
landlocked_salmon,pos,fish,wn_hypernym,not_certain
Epinephelus_fulvus,pos,fish,wn_hypernym,not_certain
coney,pos,mammal fish,wn_hypernym,not_certain
creole-fish,pos,fish,wn_hypernym,not_certain
Paranthias_furcifer,pos,fish,wn_hypernym,not_certain
hind,pos,mammal fish,wn_hypernym,not_certain
Mycteroperca_bonaci,pos,fish,wn_hypernym,not_certain
jewfish,pos,fish,wn_hypernym,not_certain
sea_trout,pos,fish,wn_hypernym,not_certain
white_sturgeon,pos,fish,wn_hypernym,not_certain
beluga,pos,mammal fish,wn_hypernym,not_certain
hausen,pos,fish,wn_hypernym,not_certain
Acipenser_huso,pos,fish,wn_hypernym,not_certain
Pacific_sturgeon,pos,fish,wn_hypernym,not_certain
Sacramento_sturgeon,pos,fish,wn_hypernym,not_certain
Acipenser_transmontanus,pos,fish,wn_hypernym,not_certain
Engraulis_encrasicholus,pos,fish,wn_hypernym,not_certain
mediterranean_anchovy,pos,fish,wn_hypernym,not_certain
armored_catfish,pos,fish,wn_hypernym,not_certain
bullhead,pos,fish,wn_hypernym,not_certain
bullhead_catfish,pos,fish,wn_hypernym,not_certain
channel_cat,pos,fish,wn_hypernym,not_certain
channel_catfish,pos,fish,wn_hypernym,not_certain
Ictalurus_punctatus,pos,fish,wn_hypernym,not_certain
shovelnose_catfish,pos,fish,wn_hypernym,not_certain
Pylodictus_olivaris,pos,fish,wn_hypernym,not_certain
flathead_catfish,pos,fish,wn_hypernym,not_certain
spoonbill_catfish,pos,fish,wn_hypernym,not_certain
goujon,pos,fish,wn_hypernym,not_certain
mudcat,pos,fish,wn_hypernym,not_certain
sea_catfish,pos,fish,wn_hypernym,not_certain
silurid_fish,pos,fish,wn_hypernym,not_certain
silurid,pos,fish,wn_hypernym,not_certain
Alosa_pseudoharengus,pos,fish,wn_hypernym,not_certain
alewife,pos,fish,wn_hypernym,not_certain
Pomolobus_pseudoharengus,pos,fish,wn_hypernym,not_certain
menhaden,pos,fish,wn_hypernym,not_certain
Brevoortia_tyrannis,pos,fish,wn_hypernym,not_certain
Sardina_pilchardus,pos,fish,wn_hypernym,not_certain
pilchard,pos,fish,wn_hypernym,not_certain
catostomid,pos,fish,wn_hypernym,not_certain
characin_fish,pos,fish,wn_hypernym,not_certain
characid,pos,fish,wn_hypernym,not_certain
characin,pos,fish,wn_hypernym,not_certain
cyprinid,pos,fish,wn_hypernym,not_certain
cyprinid_fish,pos,fish,wn_hypernym,not_certain
cyprinodont,pos,fish,wn_hypernym,not_certain
Electrophorus_electric,pos,fish,wn_hypernym,not_certain
electric_eel,pos,fish,wn_hypernym,not_certain
loach,pos,fish,wn_hypernym,not_certain
poeciliid_fish,pos,fish,wn_hypernym,not_certain
topminnow,pos,fish,wn_hypernym,not_certain
poeciliid,pos,fish,wn_hypernym,not_certain
live-bearer,pos,fish,wn_hypernym,not_certain
freshwater_eel,pos,fish,wn_hypernym,not_certain
common_eel,pos,fish,wn_hypernym,not_certain
conger_eel,pos,fish,wn_hypernym,not_certain
conger,pos,fish,wn_hypernym,not_certain
elver,pos,fish,wn_hypernym,not_certain
moray,pos,fish,wn_hypernym,not_certain
moray_eel,pos,fish,wn_hypernym,not_certain
Anguilla_sucklandii,pos,fish,wn_hypernym,not_certain
codfish,pos,fish,wn_hypernym,not_certain
torsk,pos,fish,wn_hypernym,not_certain
Brosme_brosme,pos,fish,wn_hypernym,not_certain
cusk,pos,fish,wn_hypernym,not_certain
rattail_fish,pos,fish,wn_hypernym,not_certain
rattail,pos,fish,wn_hypernym,not_certain
grenadier,pos,fish,wn_hypernym,not_certain
haddock,pos,fish,wn_hypernym,not_certain
Melanogrammus_aeglefinus,pos,fish,wn_hypernym,not_certain
hake,pos,fish,wn_hypernym,not_certain
Molva_molva,pos,fish,wn_hypernym,not_certain
ling,pos,fish,wn_hypernym,not_certain
