"concept"	"label"	"categories_str"	"sources_str"	"certainty"	"cosine_centroid"	"selection"
"deal"	"pos"	"wood"	"wn_parts"	"not_certain"	0.1091349755	1
"dates"	"neg"	"made_of_wood"	"cslb_crowd_neg"	"certain"	0.1423600115	3
"saw"	"pos"	"made_of_wood"	"cslb"	"not_certain"	0.1505083245	3
"lag"	"pos"	"wood"	"wn_parts"	"not_certain"	0.1624530367	1
"ruler"	"pos"	"made_of_wood"	"cslb"	"not_certain"	0.1647190856	2
"club"	"pos"	"made_of_wood"	"cslb"	"not_certain"	0.1666938697	
"balk"	"pos"	"wood"	"wn_parts"	"not_certain"	0.1987172149	
"stock"	"pos"	"wood"	"wn_parts"	"not_certain"	0.2007840307	
"board"	"pos"	"wood"	"wn_parts"	"not_certain"	0.2026860153	
"wale"	"pos"	"wood"	"wn_parts"	"not_certain"	0.2117652288	
"throne"	"pos"	"made_of_wood"	"cslb"	"not_certain"	0.2128433015	
"trave"	"pos"	"wood"	"wn_parts"	"not_certain"	0.2147057331	
"castle"	"pos"	"made_of_wood"	"cslb"	"not_certain"	0.2247221317	
"gong"	"neg"	"made_of_wood"	"cslb_crowd_neg"	"certain"	0.2290117868	
"traverse"	"pos"	"wood"	"wn_parts"	"not_certain"	0.2351034156	
"louvre"	"pos"	"wood"	"wn_parts"	"not_certain"	0.2373398752	
"pale"	"pos"	"wood"	"wn_parts"	"not_certain"	0.2382904736	
"shoring"	"pos"	"wood"	"wn_parts"	"not_certain"	0.2420313575	
"puppet"	"pos"	"made_of_wood"	"cslb"	"not_certain"	0.2461944482	
"mop"	"pos"	"made_of_wood"	"cslb"	"not_certain"	0.2486818426	
"bell"	"neg"	"made_of_wood"	"cslb_crowd_neg"	"certain"	0.25066296	
"bench"	"pos"	"made_of_wood"	"cslb"	"not_certain"	0.2532355213	
"shore"	"pos"	"wood"	"wn_parts"	"not_certain"	0.2543499291	
"header"	"pos"	"wood"	"wn_parts"	"not_certain"	0.2556124445	
"strip"	"pos"	"wood"	"wn_parts"	"not_certain"	0.2561495588	
"rock"	"neg"	"made_of_wood"	"cslb_crowd_neg"	"certain"	0.2561944537	
"tie"	"pos"	"wood"	"wn_parts"	"not_certain"	0.2606965492	
"stringer"	"pos"	"wood"	"wn_parts"	"not_certain"	0.2612487081	
"fin"	"pos"	"wood"	"wn_parts"	"not_certain"	0.2622740187	
"yoyo"	"pos"	"made_of_wood"	"cslb"	"not_certain"	0.2629540337	
"laptop"	"neg"	"neg"	"manually_included"	"certain"	0.2637445366	
"cork"	"pos"	"made_of_wood"	"cslb"	"not_certain"	0.2641348512	
"gunnel"	"pos"	"wood"	"wn_parts"	"not_certain"	0.2642365004	
"picket"	"pos"	"wood"	"wn_parts"	"not_certain"	0.2661668511	
"hutch"	"pos"	"made_of_wood"	"cslb"	"not_certain"	0.2681239287	
"pen"	"neg"	"neg"	"manually_included"	"certain"	0.2693021969	
"stave"	"pos"	"wood"	"wn_parts"	"not_certain"	0.2707059065	
"fir"	"pos"	"made_of_wood"	"cslb"	"not_certain"	0.2714728291	
"gate"	"pos"	"made_of_wood"	"cslb"	"not_certain"	0.2725181876	
"anchor"	"neg"	"made_of_wood"	"cslb_crowd_neg"	"certain"	0.2728761497	
"table"	"pos"	"made_of_wood made_of_wood"	"cslb manually_included"	"certain"	0.2729903052	
"ridge"	"pos"	"wood"	"wn_parts"	"not_certain"	0.2742136583	
"chair"	"pos"	"made_of_wood made_of_wood"	"cslb manually_included"	"certain"	0.2764058182	
"trimmer"	"pos"	"wood"	"wn_parts"	"not_certain"	0.2768429136	
"cradle"	"pos"	"made_of_wood"	"cslb_crowd_pos cslb"	"certain"	0.2780529594	
"recorder"	"pos"	"made_of_wood"	"cslb"	"not_certain"	0.2783967385	
"elm"	"pos"	"made_of_wood"	"cslb"	"not_certain"	0.2785373625	
"splat"	"pos"	"wood"	"wn_parts"	"not_certain"	0.2817149988	
"armchair"	"pos"	"made_of_wood"	"cslb"	"not_certain"	0.2830730281	
"dice"	"pos"	"made_of_wood"	"cslb"	"not_certain"	0.2970486956	
"clock"	"pos"	"made_of_wood"	"cslb"	"not_certain"	0.2973359594	
"dresser"	"pos"	"made_of_wood"	"cslb"	"not_certain"	0.2974034995	
"sycamore"	"pos"	"made_of_wood"	"cslb"	"not_certain"	0.2977132701	
"birch"	"pos"	"made_of_wood"	"cslb"	"not_certain"	0.2982827486	
"bagpipes"	"pos"	"made_of_wood"	"cslb"	"not_certain"	0.2988766697	
"houseboat"	"pos"	"made_of_wood"	"cslb"	"not_certain"	0.3037838868	
"yacht"	"pos"	"made_of_wood"	"cslb"	"not_certain"	0.3070500941	
"shield"	"pos"	"made_of_wood"	"cslb"	"not_certain"	0.3073387529	
"tongs"	"pos"	"made_of_wood"	"cslb"	"not_certain"	0.3172777449	
"cannon"	"neg"	"made_of_wood"	"cslb_crowd_neg"	"certain"	0.3181044255	
"spline"	"pos"	"wood"	"wn_parts"	"not_certain"	0.3207414057	
"oak"	"pos"	"made_of_wood"	"cslb"	"not_certain"	0.3209520786	
"hoe"	"pos"	"made_of_wood"	"cslb"	"not_certain"	0.3211531338	
"trumpet"	"neg"	"made_of_wood made_of_wood"	"cslb_crowd_neg manually_included"	"certain"	0.322019786	
"willow"	"pos"	"made_of_wood"	"cslb"	"not_certain"	0.3224484815	
"swing"	"pos"	"made_of_wood"	"cslb"	"not_certain"	0.3226188189	
"ship"	"pos"	"made_of_wood"	"cslb"	"not_certain"	0.3241612295	
"tugboat"	"pos"	"made_of_wood"	"cslb"	"not_certain"	0.3247940742	
"boomerang"	"pos"	"made_of_wood"	"cslb"	"not_certain"	0.3268409491	
"batten"	"pos"	"wood"	"wn_parts"	"not_certain"	0.3274317792	
"bridge"	"pos"	"made_of_wood"	"cslb"	"not_certain"	0.3283614343	
"peg"	"pos"	"made_of_wood"	"cslb"	"not_certain"	0.3303331346	
"rafter"	"pos"	"wood"	"wn_parts"	"not_certain"	0.3318547126	
"box"	"pos"	"made_of_wood"	"cslb"	"not_certain"	0.3319722131	
