"concept"	"label"	"categories_str"	"sources_str"	"certainty"	"cosine_centroid"	"selection"
"baton"	"neg"	"is_round"	"mcrae"	"not_certain"	0.0780611071	3
"world"	"neg"	"round square"	"conceptnet"	"not_certain"	0.0994415769	3
"football"	"neg"	"round"	"conceptnet"	"not_certain"	0.1147301478	3
"beets"	"neg"	"is_round"	"mcrae"	"not_certain"	0.1182700488	3
"report"	"neg"	"neg_met"	"manually_included"	"certain"	0.1374648941	3
"carrot"	"neg"	"neg"	"manually_included"	"certain"	0.1382839914	3
"balloon"	"neg"	"is_round"	"mcrae"	"not_certain"	0.1423486399	3
"basketball"	"neg"	"round"	"conceptnet"	"not_certain"	0.1435965499	3
"cabbage"	"neg"	"is_round"	"mcrae"	"not_certain"	0.1440280524	3
"banana"	"neg"	"is_round"	"mcrae"	"not_certain"	0.1448110083	3
"bowl"	"neg"	"is_round"	"mcrae"	"not_certain"	0.1488311714	3
"program"	"neg"	"neg_met"	"manually_included"	"certain"	0.1491045114	3
"cantaloupe"	"neg"	"is_round"	"mcrae"	"not_certain"	0.1541701615	3
"blueberry"	"neg"	"is_round"	"mcrae"	"not_certain"	0.1730866264	3
"baseball"	"neg"	"round"	"conceptnet"	"not_certain"	0.1759125167	3
"banjo"	"neg"	"is_round"	"mcrae"	"not_certain"	0.1803972096	3
"oval"	"neg"	"round"	"conceptnet"	"not_certain"	0.1846142605	3
"biscuit"	"neg"	"is_round"	"mcrae"	"not_certain"	0.1879134209	2
"barrel"	"neg"	"is_round"	"mcrae"	"not_certain"	0.1902798363	
"circles"	"neg"	"round"	"conceptnet"	"not_certain"	0.194148164	
"oranges"	"neg"	"round"	"conceptnet"	"not_certain"	0.2004117061	
"egg"	"neg"	"round"	"conceptnet"	"not_certain"	0.2012430556	
"circle"	"neg"	"round"	"conceptnet"	"not_certain"	0.2059569816	
"marbles"	"neg"	"round"	"conceptnet"	"not_certain"	0.2217276721	
"frisbee"	"neg"	"round"	"conceptnet"	"not_certain"	0.2250405691	
"mug"	"neg"	"neg"	"manually_included"	"certain"	0.2250573662	
"pen"	"neg"	"neg"	"manually_included"	"certain"	0.229832204	
"ball"	"neg"	"round is_round"	"conceptnet mcrae"	"not_certain"	0.239684294	
"marble"	"neg"	"round"	"conceptnet"	"not_certain"	0.2409068179	
"planets"	"neg"	"round"	"conceptnet"	"not_certain"	0.24375142	
"tarts"	"neg"	"round"	"conceptnet"	"not_certain"	0.2442728785	
"sphere"	"neg"	"round"	"conceptnet"	"not_certain"	0.254483671	
"button"	"neg"	"round"	"conceptnet"	"not_certain"	0.2597695535	
"globe"	"neg"	"round"	"conceptnet"	"not_certain"	0.2605518246	
"balls"	"neg"	"round"	"conceptnet"	"not_certain"	0.2617826232	
"frisbees"	"neg"	"round"	"conceptnet"	"not_certain"	0.2628449383	
"tortillas"	"neg"	"round"	"conceptnet"	"not_certain"	0.2636458646	
"newspaper"	"pos"	"pos"	"manually_included"	"certain"	0.2645616775	
"bracelet"	"neg"	"is_round"	"mcrae"	"not_certain"	0.2651849066	
"wheels"	"neg"	"round"	"conceptnet"	"not_certain"	0.2721544128	
"text"	"neg"	"neg_met"	"manually_included"	"certain"	0.2747038532	
"apple"	"neg"	"is_round"	"mcrae"	"not_certain"	0.2926547337	
"bucket"	"neg"	"is_round"	"mcrae"	"not_certain"	0.3047085602	
"cds"	"neg"	"round"	"conceptnet"	"not_certain"	0.3106448579	
"ashtray"	"neg"	"is_round"	"mcrae"	"not_certain"	0.3260773641	
"modillioned"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3357830625	
"dumbwaiter"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.335932207	
"zoombinis"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.336060278	
"expander"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3363863874	
"suites"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.336480952	
"smartphones"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3365063101	
"cafeterias"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3365676427	
