concept,label,categories_str,sources_str,certainty,cosine_centroid
debate,neg,neg_met,manually_included,certain,0.027444196628836088
key,pos/neg,fruit,wn_hypernym,not_certain,0.053726368310911536
argument,neg,neg_met,manually_included,certain,0.058075246953163746
hatred,neg,neg_met,manually_included,certain,0.09585739283709382
problem,neg,neg_met,manually_included,certain,0.09670687007179368
edda,pos/neg,vegetable,wn_hypernym,not_certain,0.10287802582433485
bartlett,pos/neg,fruit,wn_hypernym,not_certain,0.10364657212610676
most,pos,sweet,conceptnet,not_certain,0.10413791345469954
marang,pos/neg,fruit,wn_hypernym,not_certain,0.10503077914721531
emperor,pos/neg,fruit,wn_hypernym,not_certain,0.10527934782924929
pulse,pos/neg,vegetable,wn_hypernym,not_certain,0.11185733190736336
gesture,pos,pos_met,manually_included,certain,0.11564941307141137
thought,pos,pos_met,manually_included,certain,0.11616936667540351
cole,pos/neg,vegetable,wn_hypernym,not_certain,0.11840874984270974
samara,pos/neg,fruit,wn_hypernym,not_certain,0.12029881895785961
murphy,pos/neg,vegetable,wn_hypernym,not_certain,0.12202335883818613
mast,pos/neg,fruit,wn_hypernym,not_certain,0.1253927590307484
dahl,pos/neg,vegetable,wn_hypernym,not_certain,0.13268216511261774
cos,pos/neg,vegetable,wn_hypernym,not_certain,0.13349169246809933
date,pos/neg,fruit,wn_hypernym,not_certain,0.13421669907656636
kail,pos/neg,vegetable,wn_hypernym,not_certain,0.14207089441084708
brazil,pos/neg,fruit,wn_hypernym,not_certain,0.14243481602537375
porsche,neg,is_sweet,cslb_crowd_neg,certain,0.14391018990973634
mangold,pos/neg,vegetable,wn_hypernym,not_certain,0.1445065852384973
windfall,pos/neg,fruit,wn_hypernym,not_certain,0.14827681075500404
saskatoon,pos/neg,fruit,wn_hypernym,not_certain,0.15223548661831476
pip,pos/neg,fruit,wn_hypernym,not_certain,0.15365025362007426
chou,pos/neg,vegetable,wn_hypernym,not_certain,0.15507796214897934
jak,pos/neg,fruit,wn_hypernym,not_certain,0.15641556542305862
capitulum,pos/neg,fruit,wn_hypernym,not_certain,0.15669397124370038
chile,pos/neg,vegetable,wn_hypernym,not_certain,0.16136858177217922
pyrene,pos/neg,fruit,wn_hypernym,not_certain,0.16962753082932933
cling,pos/neg,fruit,wn_hypernym,not_certain,0.17827367062243574
jack,pos/neg,fruit,wn_hypernym,not_certain,0.18609705134364288
hip,pos/neg,fruit,wn_hypernym,not_certain,0.18643384429187554
savoy,pos/neg,vegetable,wn_hypernym,not_certain,0.18746524801067113
bosc,pos/neg,fruit,wn_hypernym,not_certain,0.18753330255792094
romaine,pos/neg,vegetable,wn_hypernym,not_certain,0.1880551928541109
spike,pos/neg,fruit,wn_hypernym,not_certain,0.19205942620663885
swede,pos/neg,vegetable,wn_hypernym,not_certain,0.1926010371796931
blackheart,pos/neg,fruit,wn_hypernym,not_certain,0.1928850961463658
anjou,pos/neg,fruit,wn_hypernym,not_certain,0.19388637585200416
dates,pos,is_sweet,cslb cslb_crowd_pos,certain,0.19428169595860958
freestone,pos/neg,fruit,wn_hypernym,not_certain,0.19479706267174804
desert,pos,pos,manually_included,certain,0.19920552528830596
pyxis,pos/neg,fruit,wn_hypernym,not_certain,0.20492418145080135
bacca,pos/neg,fruit,wn_hypernym,not_certain,0.20545382256157063
clementine,pos/neg,fruit,wn_hypernym,not_certain,0.20576710830951467
ear,pos/neg,fruit,wn_hypernym,not_certain,0.20584714151908598
flageolet,pos/neg,vegetable,wn_hypernym,not_certain,0.2095809449205112
gift,pos,pos_met,manually_included,certain,0.21012812842059198
greens,pos/neg,vegetable,wn_hypernym,not_certain,0.21269303483830332
buckeye,pos/neg,fruit,wn_hypernym,not_certain,0.21415298135929353
snap,pos/neg,vegetable,wn_hypernym,not_certain,0.2154176287232287
julienne,pos/neg,vegetable,wn_hypernym,not_certain,0.21551362481367722
kernel,pos/neg,fruit,wn_hypernym,not_certain,0.2186197354948528
leek,pos/neg,vegetable,wn_hypernym,not_certain,0.22091916566500758
barleycorn,pos/neg,fruit,wn_hypernym,not_certain,0.22274437203336947
marrow,pos/neg,vegetable,wn_hypernym,not_certain,0.22479184192757368
peeler,neg,is_sweet,cslb_crowd_neg,certain,0.22615039628995406
iceberg,pos/neg,vegetable,wn_hypernym,not_certain,0.2279122299171935
spud,pos/neg,vegetable,wn_hypernym,not_certain,0.2315440591943767
chilly,pos/neg,vegetable,wn_hypernym,not_certain,0.23698793387599795
pod,pos/neg,fruit,wn_hypernym,not_certain,0.23749469095029677
filbert,pos/neg,fruit,wn_hypernym,not_certain,0.23916040594038496
muscat,pos/neg,fruit,wn_hypernym,not_certain,0.24280486933235737
green,pos/neg,vegetable,wn_hypernym,not_certain,0.24354487935354258
