"concept"	"label"	"categories_str"	"sources_str"	"certainty"	"cosine_centroid"	"selection"
"debate"	"neg"	"neg_met"	"manually_included"	"certain"	0.0274441966	3
"key"	"pos/neg"	"fruit"	"wn_hypernym"	"not_certain"	0.0537263683	3
"argument"	"neg"	"neg_met"	"manually_included"	"certain"	0.058075247	3
"hatred"	"neg"	"neg_met"	"manually_included"	"certain"	0.0958573928	3
"problem"	"neg"	"neg_met"	"manually_included"	"certain"	0.0967068701	3
"edda"	"pos/neg"	"vegetable"	"wn_hypernym"	"not_certain"	0.1028780258	2
"bartlett"	"pos/neg"	"fruit"	"wn_hypernym"	"not_certain"	0.1036465721	2
"most"	"pos"	"sweet"	"conceptnet"	"not_certain"	0.1041379135	
"marang"	"pos/neg"	"fruit"	"wn_hypernym"	"not_certain"	0.1050307791	
"emperor"	"pos/neg"	"fruit"	"wn_hypernym"	"not_certain"	0.1052793478	
"pulse"	"pos/neg"	"vegetable"	"wn_hypernym"	"not_certain"	0.1118573319	
"gesture"	"pos"	"pos_met"	"manually_included"	"certain"	0.1156494131	
"thought"	"pos"	"pos_met"	"manually_included"	"certain"	0.1161693667	
"cole"	"pos/neg"	"vegetable"	"wn_hypernym"	"not_certain"	0.1184087498	
"samara"	"pos/neg"	"fruit"	"wn_hypernym"	"not_certain"	0.120298819	
"murphy"	"pos/neg"	"vegetable"	"wn_hypernym"	"not_certain"	0.1220233588	
"mast"	"pos/neg"	"fruit"	"wn_hypernym"	"not_certain"	0.125392759	
"dahl"	"pos/neg"	"vegetable"	"wn_hypernym"	"not_certain"	0.1326821651	
"cos"	"pos/neg"	"vegetable"	"wn_hypernym"	"not_certain"	0.1334916925	
"date"	"pos/neg"	"fruit"	"wn_hypernym"	"not_certain"	0.1342166991	
"kail"	"pos/neg"	"vegetable"	"wn_hypernym"	"not_certain"	0.1420708944	
"brazil"	"pos/neg"	"fruit"	"wn_hypernym"	"not_certain"	0.142434816	
"porsche"	"neg"	"is_sweet"	"cslb_crowd_neg"	"certain"	0.1439101899	
"mangold"	"pos/neg"	"vegetable"	"wn_hypernym"	"not_certain"	0.1445065852	
"windfall"	"pos/neg"	"fruit"	"wn_hypernym"	"not_certain"	0.1482768108	
"saskatoon"	"pos/neg"	"fruit"	"wn_hypernym"	"not_certain"	0.1522354866	
"pip"	"pos/neg"	"fruit"	"wn_hypernym"	"not_certain"	0.1536502536	
"chou"	"pos/neg"	"vegetable"	"wn_hypernym"	"not_certain"	0.1550779621	
"jak"	"pos/neg"	"fruit"	"wn_hypernym"	"not_certain"	0.1564155654	
"capitulum"	"pos/neg"	"fruit"	"wn_hypernym"	"not_certain"	0.1566939712	
