"concept"	"label"	"categories_str"	"sources_str"	"certainty"	"cosine_centroid"	"selection"
"problem"	"neg"	"neg_met"	"manually_included"	"certain"	0.1554301048	3
"idea"	"neg"	"neg_met"	"manually_included"	"certain"	0.1767626705	3
"cindy"	"neg"	"hot"	"conceptnet"	"not_certain"	0.1831316795	3
"people"	"pos"	"cold"	"conceptnet"	"not_certain"	0.1877839263	2
"jungles"	"neg"	"hot"	"conceptnet"	"not_certain"	0.2075270073	3
"hatred"	"pos"	"pos_met"	"manually_included"	"certain"	0.219289386	2
"lightning"	"neg"	"hot"	"conceptnet"	"not_certain"	0.2295074379	
"canada"	"pos"	"cold"	"conceptnet"	"not_certain"	0.2308551502	
"pie"	"neg"	"is_hot"	"cslb"	"not_certain"	0.2313401047	
"fire"	"neg"	"hot hot"	"conceptnet manually_included"	"certain"	0.2342492379	
"venus"	"neg"	"hot"	"conceptnet"	"not_certain"	0.2427340305	
"bath"	"neg"	"is_hot"	"cslb"	"not_certain"	0.2427522467	
"love"	"neg"	"neg_met"	"manually_included"	"certain"	0.24832409	
"bob"	"pos"	"cold"	"conceptnet"	"not_certain"	0.25367637	
"steam"	"neg"	"hot"	"conceptnet"	"not_certain"	0.2582519772	
"toaster"	"neg"	"is_hot"	"cslb"	"not_certain"	0.2643770121	
"mug"	"neg"	"is_hot"	"cslb"	"not_certain"	0.2644607288	
"happiness"	"neg"	"neg_met"	"manually_included"	"certain"	0.2707975064	
"tea"	"neg"	"is_hot is_cold is_hot is_cold"	"cslb manually_included"	"certain"	0.2919219525	
"tile"	"pos"	"cold"	"conceptnet"	"not_certain"	0.2945006303	
"river"	"pos"	"cold"	"conceptnet"	"not_certain"	0.2978348008	
"coffee"	"neg"	"is_hot hot"	"cslb conceptnet"	"not_certain"	0.2982660797	
"kettle"	"neg"	"is_hot"	"cslb"	"not_certain"	0.3010830411	
"heating"	"neg"	"neg"	"manually_included"	"certain"	0.3024341577	
"flame"	"neg"	"hot"	"conceptnet"	"not_certain"	0.3050524055	
"space"	"pos"	"cold"	"conceptnet"	"not_certain"	0.3079293519	
"fireplaces"	"neg"	"hot"	"conceptnet"	"not_certain"	0.3098610155	
"stove"	"neg"	"is_hot hot"	"cslb conceptnet"	"not_certain"	0.3117322595	
"soup"	"neg"	"is_hot is_cold is_hot is_cold"	"cslb manually_included"	"certain"	0.3134435031	
"oven"	"neg"	"is_hot"	"cslb"	"not_certain"	0.3276412668	
"candle"	"neg"	"is_hot"	"cslb"	"not_certain"	0.3310148926	
"alaska"	"pos"	"cold"	"conceptnet"	"not_certain"	0.3339835848	
"lava"	"neg"	"hot"	"conceptnet"	"not_certain"	0.341541776	
"moon"	"pos"	"cold"	"conceptnet"	"not_certain"	0.3459628853	
"ulcerated"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3465572376	
"nushagak"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3466272039	
"milk"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3466795827	
"ep"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3468348034	
"baijiu"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3469925268	
"bubbles"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3470121081	
"warm"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.347066846	
"32f"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3471377141	
"surface"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3471443322	
"upstairs"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3472695591	
"amundsenscott"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3473887591	
"candy"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3473893036	
"iliamna"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.347537202	
"tummy"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.347540028	
"iceberg"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3476248455	
"undercoat"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3476908301	
"snowbank"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3477224418	
"parotoid"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3477920426	
"tistos"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3478659503	
"firn"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3478761274	
"indoors"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3478927865	
"0.5square"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3480413535	
"bathyal"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3480968684	
"guttering"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3482681744	
"perithecia"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3484279888	
"cottongrass"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3485137324	
"sisurcana"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3486882506	
"puddle"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3487048273	
"arendelle"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.348994142	
"pragelato"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3493770429	
"snowfalls"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3494782588	
"atole"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3494978588	
"soda"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3495636895	
"biosignatures"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3498396261	
"cakes"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3498871281	
"srkapp"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3499443681	
"pouring"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.350021166	
"cracks"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3502034098	
"pillows"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3502596863	
"warmer"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3505126681	
"mentzelia"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3505886752	
"buffish"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3509145049	
"thermosphere"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3509454003	
"shyok"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3509976458	
"imnaha"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3510758439	
"lefse"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3511507403	
"chelipeds"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3512151801	
"chocolate"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3513421943	
"outdoors"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3514251111	
"toilet"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3514495334	
"balloons"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3515265199	
"shoes"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3515571038	
"cake"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.351603513	
"topcoat"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3516751099	
"involucral"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.351692642	
"eggshells"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3517858102	
"sky"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3520104866	
"grates"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3521151266	
"sanitizer"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3525788274	
"chamferboards"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3526894804	
"melting"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3527820986	
"aglossa"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3533999104	
"68f"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3535411593	
"supratemporal"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.353611406	
"supercooled"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3536964127	
"quoined"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3537031136	
"polar"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3538878959	
"vapor"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3539447873	
"macchiato"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3541630963	
"berries"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3542027823	
"dogwoods"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3544118545	
"forepaws"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3544543367	
"casseroles"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3545754851	
"mayacamas"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3549964657	
"boots"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3549996015	
"mooncakes"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3551539542	
"nealcidion"	"neg/pos"	"neighbors-200"	"wikipedia_sgns_model"	"not_certain"	0.3553076962	
