"concept"	"label"	"categories_str"	"sources_str"	"certainty"	"cosine_centroid"	"selection"
"discussion"	"neg"	"neg_met"	"manually_included"	"certain"	0.0427884901	3
"key"	"pos/neg"	"fruit"	"wn_hypernym"	"not_certain"	0.0526020279	3
"most"	"neg"	"sweet"	"conceptnet"	"not_certain"	0.0708157201	3
"emperor"	"pos/neg"	"fruit"	"wn_hypernym"	"not_certain"	0.0867896848	1
"report"	"pos"	"pos_met"	"manually_included"	"certain"	0.089240727	2
"emotion"	"neg"	"neg_met"	"manually_included"	"certain"	0.0960061224	
"mast"	"pos/neg"	"fruit"	"wn_hypernym"	"not_certain"	0.1026305822	
"story"	"pos"	"pos_met"	"manually_included"	"certain"	0.1100437698	
"bartlett"	"pos/neg"	"fruit"	"wn_hypernym"	"not_certain"	0.1105490507	
"date"	"pos/neg"	"fruit"	"wn_hypernym"	"not_certain"	0.1154049146	
"cole"	"pos/neg"	"vegetable"	"wn_hypernym"	"not_certain"	0.116407141	
"edda"	"pos/neg"	"vegetable"	"wn_hypernym"	"not_certain"	0.118661298	
"marang"	"pos/neg"	"fruit"	"wn_hypernym"	"not_certain"	0.1200953684	
"samara"	"pos/neg"	"fruit"	"wn_hypernym"	"not_certain"	0.1244635844	
"pip"	"pos/neg"	"fruit"	"wn_hypernym"	"not_certain"	0.1275253009	
"cos"	"pos/neg"	"vegetable"	"wn_hypernym"	"not_certain"	0.1300860861	
"pulse"	"pos/neg"	"vegetable"	"wn_hypernym"	"not_certain"	0.1335052233	
"kail"	"pos/neg"	"vegetable"	"wn_hypernym"	"not_certain"	0.134890945	
"jak"	"pos/neg"	"fruit"	"wn_hypernym"	"not_certain"	0.1410275302	
"brazil"	"pos/neg"	"fruit"	"wn_hypernym"	"not_certain"	0.1425176554	
"murphy"	"pos/neg"	"vegetable"	"wn_hypernym"	"not_certain"	0.1442935475	
"feeling"	"neg"	"neg_met"	"manually_included"	"certain"	0.1449400419	
"capitulum"	"pos/neg"	"fruit"	"wn_hypernym"	"not_certain"	0.1473332113	
"saskatoon"	"pos/neg"	"fruit"	"wn_hypernym"	"not_certain"	0.1479209196	
"dahl"	"pos/neg"	"vegetable"	"wn_hypernym"	"not_certain"	0.1502326545	
