"concept"	"label"	"categories_str"	"sources_str"	"certainty"	"cosine_centroid"	"selection"
"upset"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.0947879187	3
"saw"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.1025655004	3
"scribe"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.1025974321	3
"muller"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.1164859059	3
"drove"	"pos"	"tool cutlery"	"wn_hypernym"	"not_certain"	0.1285579123	3
"buffer"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.1326197044	3
"graver"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.1462746608	3
"grapple"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.1529608047	3
"tamper"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.1556708683	3
"bender"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.1618322565	3
"square"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.1659736918	3
"sander"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.1670350726	3
"scuffle"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.1690135398	3
"bill"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.1713344036	3
"ram"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.1714674599	3
"opener"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.1774983195	2
"file"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.1787114239	3
"stamp"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.1809790916	3
"lister"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.1837809982	
"dibble"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.1856420544	
"clincher"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.1896485685	
"style"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.1917852358	
"die"	"pos"	"tool cutlery"	"wn_hypernym"	"not_certain"	0.1918660469	
"gang"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.1924549481	
"stamper"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.1938006102	
"starter"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.1939626933	
"bur"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.1974191161	
"heckle"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.2051283001	
"gavel"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.2067427267	
"canary"	"neg"	"neg"	"manually_included"	"certain"	0.2090407356	
"plane"	"pos"	"tool cutlery"	"wn_hypernym"	"not_certain"	0.2103655297	
"puncher"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.2131221893	
"rounder"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.2144429742	
"violin"	"neg"	"neg"	"manually_included"	"certain"	0.2146592672	
"jack"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.2159597753	
"grappler"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.2196065091	
"hack"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.2199762747	
"pick"	"pos"	"tool cutlery"	"wn_hypernym"	"not_certain"	0.2216889932	
"lancet"	"pos"	"tool cutlery"	"wn_hypernym"	"not_certain"	0.2219239118	
"smoother"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.2244273983	
"razorblade"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.2253519181	
"spanner"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.2254763047	
"tap"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.225864009	
"bit"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.2275866995	
"burr"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.2293821853	
"pincer"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.2341804403	
"bodkin"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.2360473755	
"pitchfork"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.2361890586	
"float"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.237198657	
"burin"	"pos"	"tool cutlery"	"wn_hypernym"	"not_certain"	0.2404568905	
"shear"	"pos"	"tool cutlery"	"wn_hypernym"	"not_certain"	0.2406311649	
"shaver"	"pos"	"tool cutlery"	"wn_hypernym"	"not_certain"	0.2407420654	
"stylus"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.2424351555	
"gutter"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.2431452423	
"maul"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.2436920057	
"adz"	"pos"	"tool cutlery"	"wn_hypernym"	"not_certain"	0.2438310501	
"sledge"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.244192775	
"bass"	"pos"	"pos"	"manually_included"	"certain"	0.2453144596	
"bevel"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.2462090269	
"slick"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.246462265	
"sparrow"	"neg"	"neg"	"manually_included"	"certain"	0.2470849436	
"planer"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.2522221451	
"clawhammer"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.2526477575	
"router"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.2526649258	
"awl"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.2527032025	
"grasshopper"	"neg"	"is_used_in_cooking"	"cslb_crowd_neg"	"certain"	0.2527778735	
"ripsaw"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.2536297866	
"pounder"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.2548069187	
"clipper"	"pos"	"tool cutlery"	"wn_hypernym"	"not_certain"	0.2571511364	
"hob"	"pos"	"tool cutlery"	"wn_hypernym"	"not_certain"	0.2593512306	
"lance"	"pos"	"tool cutlery"	"wn_hypernym"	"not_certain"	0.2640882751	
"marlinspike"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.264739162	
"drill"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.2655803631	
"rake"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.2669178078	
"rammer"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.2670225735	
"jigsaw"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.2689504515	
"pallet"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.2694380843	
"borer"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.2746827519	
"jackhammer"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.2767351398	
"gouge"	"pos"	"tool cutlery"	"wn_hypernym"	"not_certain"	0.2782047259	
"ax"	"pos"	"tool cutlery"	"wn_hypernym"	"not_certain"	0.2790559963	
"rasp"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.2807606061	
"pizzeria"	"neg"	"is_used_in_cooking"	"cslb_crowd_neg"	"certain"	0.282590573	
"parang"	"pos"	"tool cutlery"	"wn_hypernym"	"not_certain"	0.2845489101	
"hacksaw"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.2886745236	
"flannel"	"pos/neg"	"is_a_material"	"cslb"	"not_certain"	0.2889482864	
"hayfork"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.2896308949	
"sawmill"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.2902687439	
"tool"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.2911016168	
"mallet"	"neg"	"tool"	"wn_hypernym"	"not_certain"	0.2916167669	
