word,n_entries,n_senses_total,polysemy_type,n_synsets,min_wup_sim,n_navigli_clusters,n_onto_senses_n_v,wn-abs-conc,mipvu,metonymy_entities,av_cos_mon_synonyms_to_word,av_wup_sim,n_syns_wup_distance
,0,0,oov,0,None,1,0,-,False,False,OOWN,,
sawyer,1,1,mon,2,0.48,2,0,conc,ooc,False,OOV/OOW,0.48,1.04
tilt at,1,3,poly,0,None,0,0,-,ooc,False,OOWN,,
meaty,1,2,poly,2,None,1,0,-,ooc,False,OOWN,,
circumstance,1,2,poly,4,0.26666666666666666,2,0,abs,False,False,OOWN,0.3728937728937729,2.5084249084249084
adhere to,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
starch,2,4,homonyms_only_different_pos,3,0.6956521739130435,0,0,abs,ooc,False,OOV/OOW,0.6956521739130435,0.9130434782608696
cutthroat,2,3,homonyms_only_different_pos,2,None,0,0,conc,ooc,False,OOV/OOW,,
Newfoundland,1,1,mon,2,0.375,2,0,conc-n,ooc,False,OOV/OOW,0.375,1.25
prime number,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
blind date,1,2,poly,0,None,0,0,-,ooc,False,OOWN,,
leftovers,1,1,mon,2,0.16666666666666666,0,0,abs-conc,ooc,False,OOWN,0.16666666666666666,1.6666666666666667
tottering,0,0,oov,5,0.2222222222222222,0,0,-,True,False,OOV/OOW,0.2526455026455026,3.7367724867724874
charwoman,1,1,mon,1,1.0,0,0,conc,ooc,False,1.0000000000000007,1.0,0.0
anglican,0,0,oov,2,None,0,0,conc,False,False,OOWN,,
jobbing,1,1,mon,4,0.125,0,0,-,ooc,False,OOWN,0.1986111111111111,3.2055555555555557
bridge,3,10,homonyms_also_same_pos,12,0.1,8,18,abs-conc,True,False,OOV/OOW,0.3406517430511238,7.912179083386515
silversmith,1,1,mon,1,1.0,0,0,conc,ooc,False,1.0,1.0,0.0
cosby,0,0,oov,0,None,0,0,-,False,False,OOWN,,
confines,1,1,mon,7,0.18181818181818182,0,0,abs,ooc,False,OOWN,0.272996632996633,5.089023569023569
despotic,1,1,mon,3,None,0,0,-,ooc,False,OOV/OOW,,
dietetics,1,1,mon,1,1.0,0,0,abs,ooc,False,1.0000000000000002,1.0,0.0
optical,1,1,mon,3,None,1,0,-,ooc,False,OOV/OOW,,
lay open,1,3,poly,0,None,0,0,-,ooc,False,OOWN,,
wanderlust,1,1,mon,1,1.0,0,0,abs,ooc,False,1.0,1.0,0.0
regiment,2,4,homonyms_only_different_pos,4,0.25,1,0,abs,ooc,False,OOWN,0.2738095238095238,2.904761904761905
animal kingdom,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
wallsend,0,0,oov,0,None,0,0,-,False,False,OOWN,,
wizardry,1,2,poly,1,1.0,0,0,abs,ooc,False,1.000000000000001,1.0,0.0
instep,1,2,poly,2,0.25,1,0,conc,ooc,False,OOWN,0.25,1.5
aversion,1,2,poly,2,0.26666666666666666,1,0,abs,ooc,False,0.3780901880072347,0.26666666666666666,1.4666666666666668
dirigible,1,1,mon,2,None,0,0,conc,ooc,False,0.3511019554613727,,
won,1,1,mon,7,0.4,1,0,abs,ooc,False,OOV/OOW,0.4928571428571428,3.55
mite,1,5,poly,2,0.1111111111111111,1,0,abs-conc,ooc,False,OOV/OOW,0.1111111111111111,1.7777777777777777
driftage,1,3,poly,1,1.0,0,0,abs,ooc,False,OOV/OOW,1.0,0.0
colonize,1,1,mon,2,0.25,1,0,-,ooc,False,OOWN,0.25,1.5
junior,1,2,poly,7,0.5,2,0,conc,True,False,OOV/OOW,0.5633401686033265,3.056618819776715
tummy,1,1,mon,2,0.5555555555555556,1,0,conc,ooc,False,0.16637987152675215,0.5555555555555556,0.8888888888888888
uncared - for,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
legally,0,0,oov,2,None,0,0,-,False,False,OOWN,,
adulate,1,1,mon,1,1.0,0,0,-,ooc,False,OOV/OOW,1.0,0.0
seizure,1,2,poly,4,0.4,2,0,abs,ooc,False,0.1319163110502146,0.5420765967205595,1.831693613117762
skillet,1,1,mon,1,1.0,0,0,conc,ooc,False,1.0000000000000018,1.0,0.0
pre-term,0,0,oov,0,None,0,0,-,False,False,OOWN,,
calliper,1,1,mon,2,None,0,0,conc,ooc,False,OOWN,,
stubby,1,1,mon,1,1.0,0,0,-,ooc,False,1.0000000000000013,1.0,0.0
latter - day,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
charnel house,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
transport,2,7,homonyms_only_different_pos,11,0.1111111111111111,3,10,abs-conc,False,False,0.19442576047471927,0.26387386263547247,8.097387511009803
British Virgin Islands,0,0,oov,0,None,0,0,-,ooc,True,OOWN,,
under -,1,3,poly,0,None,0,0,-,ooc,False,OOWN,,
mizzenmast,1,1,mon,1,1.0,0,0,conc,ooc,False,OOV/OOW,1.0,0.0
fraudulence,1,2,poly,3,0.21052631578947367,0,0,abs,ooc,False,OOV/OOW,0.2236842105263158,2.3289473684210527
ballot box,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
dozy,1,3,poly,1,1.0,0,0,-,ooc,False,1.0000000000000016,1.0,0.0
sideboard,1,1,mon,3,0.5882352941176471,2,0,conc,ooc,False,OOWN,0.6838235294117648,0.9485294117647055
edelweiss,1,1,mon,1,0.8333333333333334,0,0,conc,ooc,False,1.0000000000000018,1.0,0.0
construe,1,2,poly,1,1.0,0,0,-,ooc,False,1.0000000000000009,1.0,0.0
canonicals,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
plasterer,1,1,mon,1,1.0,0,0,conc,ooc,False,1.000000000000001,1.0,0.0
anaemia,1,1,mon,2,0.2,1,0,abs,ooc,False,OOWN,0.2,1.6
mary,0,0,oov,1,0.9285714285714286,0,0,n,False,False,OOV/OOW,1.0,0.0
cowhide,1,3,poly,4,0.2,1,0,abs-conc,ooc,False,OOV/OOW,0.40606060606060607,2.375757575757576
junk,3,5,homonyms_also_same_pos,3,0.2,2,7,abs-conc,False,False,0.16259369435643362,0.2,2.4000000000000004
indigent,1,1,mon,1,1.0,0,0,-,ooc,False,1.0000000000000016,1.0,0.0
mileage,1,3,poly,3,0.2727272727272727,1,0,abs,False,False,OOV/OOW,0.33376623376623377,1.9987012987012989
unlike,1,1,mon,2,None,1,0,-,False,False,OOWN,,
retch,1,1,mon,3,0.3333333333333333,1,0,abs,ooc,False,OOV/OOW,0.3333333333333333,2.0
High Sheriff,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
semblance,1,1,mon,3,0.11764705882352941,1,0,abs-conc,ooc,False,OOWN,0.1788982259570495,2.4633053221288517
Adele,0,0,oov,0,None,0,0,-,ooc,True,OOWN,,
engagement,1,5,poly,7,0.23529411764705882,2,8,abs,ooc,False,OOWN,0.5148415776567037,3.396108956403074
Muhammad,0,0,oov,2,0.5454545454545454,0,0,n,ooc,True,OOV/OOW,0.5454545454545454,0.9090909090909092
barricades,1,1,mon,5,0.75,0,0,conc,ooc,False,OOV/OOW,0.7847222222222222,1.0763888888888888
rep,3,4,homonyms_also_same_pos,2,0.42105263157894735,2,0,conc,ooc,False,0.06724025910150497,0.42105263157894735,1.1578947368421053
Fernando Alonso,0,0,oov,0,None,0,0,-,ooc,True,OOWN,,
squalor,1,1,mon,1,1.0,0,0,abs,False,False,1.0000000000000018,1.0,0.0
sand trap,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
attend,1,4,poly,5,0.2222222222222222,3,5,-,True,False,OOV/OOW,0.3019841269841269,3.4900793650793656
twin bed,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
watered silk,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
agreeably,1,1,mon,1,1.0,0,0,-,False,False,0.6128509917853937,1.0,0.0
slouch,2,3,homonyms_only_different_pos,4,0.14285714285714285,4,0,abs-conc,ooc,False,OOWN,0.17142857142857143,3.314285714285714
abolish,1,1,mon,1,0.5,0,1,-,False,False,1.0000000000000018,1.0,0.0
loll,1,2,poly,2,0.2857142857142857,1,0,-,ooc,False,OOV/OOW,0.2857142857142857,1.4285714285714286
dismantle,1,2,poly,3,0.2857142857142857,1,4,-,ooc,False,0.18968972013367078,0.41269841269841273,1.7619047619047616
open question,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
peaked,2,2,homonyms_also_same_pos,3,None,2,0,-,ooc,False,0.024927782047824767,,
theoretically,1,2,poly,2,None,0,0,-,ooc,False,OOWN,,
magnetic,1,1,mon,5,None,2,0,-,False,False,0.08320434451846098,,
bodily,2,2,homonyms_only_different_pos,4,None,1,0,-,ooc,False,0.30715264427138683,,
