word,n_entries,n_senses_total,polysemy_type,n_synsets,min_wup_sim,n_navigli_clusters,n_onto_senses_n_v,wn-abs-conc,mipvu,metonymy_entities,av_cos_mon_synonyms_to_word,av_wup_sim,n_syns_wup_distance,wiki_frequency,wn_noun
,0,0,oov,0,None,1,0,-,False,False,OOWN,,,OOV,False
sawyer,1,1,mon,2,0.48,2,0,conc,ooc,False,OOV/OOW,0.48,1.04,7305,True
tilt at,1,3,poly,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
meaty,1,2,poly,2,None,1,0,-,ooc,False,OOWN,,,500,False
circumstance,1,2,poly,4,0.26666666666666666,2,0,abs,False,False,OOWN,0.3728937728937729,2.5084249084249084,3996,True
adhere to,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
starch,2,4,homonyms_only_different_pos,3,0.6956521739130435,0,0,abs,ooc,False,OOV/OOW,0.6956521739130435,0.9130434782608696,4313,True
cutthroat,2,3,homonyms_only_different_pos,2,None,0,0,conc,ooc,False,OOV/OOW,,,1546,True
Newfoundland,1,1,mon,2,0.375,2,0,conc-n,ooc,False,OOV/OOW,0.375,1.25,OOV,True
prime number,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
blind date,1,2,poly,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
leftovers,1,1,mon,2,0.16666666666666666,0,0,abs-conc,ooc,False,OOWN,0.16666666666666666,1.6666666666666667,903,True
tottering,0,0,oov,5,0.2222222222222222,0,0,-,True,False,OOV/OOW,0.2526455026455026,3.7367724867724874,190,False
charwoman,1,1,mon,1,1.0,0,0,conc,ooc,False,1.0000000000000007,1.0,0.0,104,True
anglican,0,0,oov,2,None,0,0,conc,False,False,OOWN,,,32632,True
jobbing,1,1,mon,4,0.125,0,0,-,ooc,False,OOWN,0.1986111111111111,3.2055555555555557,283,False
bridge,3,10,homonyms_also_same_pos,12,0.1,8,18,abs-conc,True,False,OOV/OOW,0.3406517430511238,7.912179083386515,275007,True
silversmith,1,1,mon,1,1.0,0,0,conc,ooc,False,1.0,1.0,0.0,951,True
cosby,0,0,oov,0,None,0,0,-,False,False,OOWN,,,3753,False
confines,1,1,mon,7,0.18181818181818182,0,0,abs,ooc,False,OOWN,0.272996632996633,5.089023569023569,3374,True
despotic,1,1,mon,3,None,0,0,-,ooc,False,OOV/OOW,,,812,False
dietetics,1,1,mon,1,1.0,0,0,abs,ooc,False,1.0000000000000002,1.0,0.0,413,True
optical,1,1,mon,3,None,1,0,-,ooc,False,OOV/OOW,,,31806,False
lay open,1,3,poly,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
wanderlust,1,1,mon,1,1.0,0,0,abs,ooc,False,1.0,1.0,0.0,556,True
regiment,2,4,homonyms_only_different_pos,4,0.25,1,0,abs,ooc,False,OOWN,0.2738095238095238,2.904761904761905,156340,True
animal kingdom,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
wallsend,0,0,oov,0,None,0,0,-,False,False,OOWN,,,911,False
wizardry,1,2,poly,1,1.0,0,0,abs,ooc,False,1.000000000000001,1.0,0.0,992,True
instep,1,2,poly,2,0.25,1,0,conc,ooc,False,OOWN,0.25,1.5,177,True
aversion,1,2,poly,2,0.26666666666666666,1,0,abs,ooc,False,0.3780901880072347,0.26666666666666666,1.4666666666666668,2558,True
dirigible,1,1,mon,2,None,0,0,conc,ooc,False,0.3511019554613727,,,503,True
won,1,1,mon,7,0.4,1,0,abs,ooc,False,OOV/OOW,0.4928571428571428,3.55,963235,True
mite,1,5,poly,2,0.1111111111111111,1,0,abs-conc,ooc,False,OOV/OOW,0.1111111111111111,1.7777777777777777,1997,True
driftage,1,3,poly,1,1.0,0,0,abs,ooc,False,OOV/OOW,1.0,0.0,OOV,True
colonize,1,1,mon,2,0.25,1,0,-,ooc,False,OOWN,0.25,1.5,2029,False
junior,1,2,poly,7,0.5,2,0,conc,True,False,OOV/OOW,0.5633401686033265,3.056618819776715,174443,True
tummy,1,1,mon,2,0.5555555555555556,1,0,conc,ooc,False,0.16637987152675215,0.5555555555555556,0.8888888888888888,255,True
uncared - for,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
legally,0,0,oov,2,None,0,0,-,False,False,OOWN,,,27649,False
adulate,1,1,mon,1,1.0,0,0,-,ooc,False,OOV/OOW,1.0,0.0,OOV,False
seizure,1,2,poly,4,0.4,2,0,abs,ooc,False,0.1319163110502146,0.5420765967205595,1.831693613117762,9210,True
skillet,1,1,mon,1,1.0,0,0,conc,ooc,False,1.0000000000000018,1.0,0.0,685,True
pre-term,0,0,oov,0,None,0,0,-,False,False,OOWN,,,OOV,False
calliper,1,1,mon,2,None,0,0,conc,ooc,False,OOWN,,,OOV,True
stubby,1,1,mon,1,1.0,0,0,-,ooc,False,1.0000000000000013,1.0,0.0,833,False
latter - day,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
charnel house,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
transport,2,7,homonyms_only_different_pos,11,0.1111111111111111,3,10,abs-conc,False,False,0.19442576047471927,0.26387386263547247,8.097387511009803,146154,True
British Virgin Islands,0,0,oov,0,None,0,0,-,ooc,True,OOWN,,,OOV,False
under -,1,3,poly,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
mizzenmast,1,1,mon,1,1.0,0,0,conc,ooc,False,OOV/OOW,1.0,0.0,OOV,True
fraudulence,1,2,poly,3,0.21052631578947367,0,0,abs,ooc,False,OOV/OOW,0.2236842105263158,2.3289473684210527,OOV,True
ballot box,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
dozy,1,3,poly,1,1.0,0,0,-,ooc,False,1.0000000000000016,1.0,0.0,123,False
sideboard,1,1,mon,3,0.5882352941176471,2,0,conc,ooc,False,OOWN,0.6838235294117648,0.9485294117647055,227,True
edelweiss,1,1,mon,1,0.8333333333333334,0,0,conc,ooc,False,1.0000000000000018,1.0,0.0,595,True
construe,1,2,poly,1,1.0,0,0,-,ooc,False,1.0000000000000009,1.0,0.0,303,False
canonicals,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
plasterer,1,1,mon,1,1.0,0,0,conc,ooc,False,1.000000000000001,1.0,0.0,315,True
anaemia,1,1,mon,2,0.2,1,0,abs,ooc,False,OOWN,0.2,1.6,629,True
mary,0,0,oov,1,0.9285714285714286,0,0,n,False,False,OOV/OOW,1.0,0.0,191837,True
cowhide,1,3,poly,4,0.2,1,0,abs-conc,ooc,False,OOV/OOW,0.40606060606060607,2.375757575757576,155,True
junk,3,5,homonyms_also_same_pos,3,0.2,2,7,abs-conc,False,False,0.16259369435643362,0.2,2.4000000000000004,4816,True
indigent,1,1,mon,1,1.0,0,0,-,ooc,False,1.0000000000000016,1.0,0.0,1395,False
mileage,1,3,poly,3,0.2727272727272727,1,0,abs,False,False,OOV/OOW,0.33376623376623377,1.9987012987012989,2680,True
unlike,1,1,mon,2,None,1,0,-,False,False,OOWN,,,110660,False
retch,1,1,mon,3,0.3333333333333333,1,0,abs,ooc,False,OOV/OOW,0.3333333333333333,2.0,OOV,True
High Sheriff,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
semblance,1,1,mon,3,0.11764705882352941,1,0,abs-conc,ooc,False,OOWN,0.1788982259570495,2.4633053221288517,1068,True
Adele,0,0,oov,0,None,0,0,-,ooc,True,OOWN,,,OOV,False
engagement,1,5,poly,7,0.23529411764705882,2,8,abs,ooc,False,OOWN,0.5148415776567037,3.396108956403074,35544,True
Muhammad,0,0,oov,2,0.5454545454545454,0,0,n,ooc,True,OOV/OOW,0.5454545454545454,0.9090909090909092,OOV,True
barricades,1,1,mon,5,0.75,0,0,conc,ooc,False,OOV/OOW,0.7847222222222222,1.0763888888888888,2061,True
rep,3,4,homonyms_also_same_pos,2,0.42105263157894735,2,0,conc,ooc,False,0.06724025910150497,0.42105263157894735,1.1578947368421053,3184,True
Fernando Alonso,0,0,oov,0,None,0,0,-,ooc,True,OOWN,,,OOV,False
squalor,1,1,mon,1,1.0,0,0,abs,False,False,1.0000000000000018,1.0,0.0,609,True
sand trap,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
attend,1,4,poly,5,0.2222222222222222,3,5,-,True,False,OOV/OOW,0.3019841269841269,3.4900793650793656,72738,False
twin bed,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
watered silk,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
agreeably,1,1,mon,1,1.0,0,0,-,False,False,0.6128509917853937,1.0,0.0,193,False
slouch,2,3,homonyms_only_different_pos,4,0.14285714285714285,4,0,abs-conc,ooc,False,OOWN,0.17142857142857143,3.314285714285714,296,True
abolish,1,1,mon,1,0.5,0,1,-,False,False,1.0000000000000018,1.0,0.0,5236,False
loll,1,2,poly,2,0.2857142857142857,1,0,-,ooc,False,OOV/OOW,0.2857142857142857,1.4285714285714286,OOV,False
dismantle,1,2,poly,3,0.2857142857142857,1,4,-,ooc,False,0.18968972013367078,0.41269841269841273,1.7619047619047616,2133,False
open question,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
