word,n_entries,n_senses_total,polysemy_type,n_synsets,min_wup_sim,n_navigli_clusters,n_onto_senses_n_v,wn-abs-conc,mipvu,metonymy_entities,av_cos_mon_synonyms_to_word
,0,0,oov,0,None,1,0,-,False,False,OOWN
sawyer,1,1,mon,2,0.48,2,0,conc,ooc,False,OOV/OOW
tilt at,1,3,poly,0,None,0,0,-,ooc,False,OOWN
meaty,1,2,poly,2,None,1,0,-,ooc,False,OOWN
circumstance,1,2,poly,4,0.26666666666666666,2,0,abs,False,False,OOWN
adhere to,1,1,mon,0,None,0,0,-,ooc,False,OOWN
starch,2,4,homonyms_only_different_pos,3,0.6956521739130435,0,0,abs,ooc,False,OOV/OOW
cutthroat,2,3,homonyms_only_different_pos,2,None,0,0,conc,ooc,False,OOV/OOW
Newfoundland,1,1,mon,2,0.375,2,0,conc-n,ooc,False,OOV/OOW
prime number,1,1,mon,0,None,0,0,-,ooc,False,OOWN
blind date,1,2,poly,0,None,0,0,-,ooc,False,OOWN
leftovers,1,1,mon,2,0.16666666666666666,0,0,abs-conc,ooc,False,OOWN
tottering,0,0,oov,5,0.2222222222222222,0,0,-,True,False,OOV/OOW
charwoman,1,1,mon,1,1.0,0,0,conc,ooc,False,1.0000000000000007
anglican,0,0,oov,2,None,0,0,conc,False,False,OOWN
jobbing,1,1,mon,4,0.125,0,0,-,ooc,False,OOWN
bridge,3,10,homonyms_also_same_pos,12,0.1,8,18,abs-conc,True,False,OOV/OOW
silversmith,1,1,mon,1,1.0,0,0,conc,ooc,False,1.0
cosby,0,0,oov,0,None,0,0,-,False,False,OOWN
confines,1,1,mon,7,0.18181818181818182,0,0,abs,ooc,False,OOWN
despotic,1,1,mon,3,None,0,0,-,ooc,False,OOV/OOW
dietetics,1,1,mon,1,1.0,0,0,abs,ooc,False,1.0000000000000002
optical,1,1,mon,3,None,1,0,-,ooc,False,OOV/OOW
lay open,1,3,poly,0,None,0,0,-,ooc,False,OOWN
wanderlust,1,1,mon,1,1.0,0,0,abs,ooc,False,1.0
regiment,2,4,homonyms_only_different_pos,4,0.25,1,0,abs,ooc,False,OOWN
animal kingdom,1,1,mon,0,None,0,0,-,ooc,False,OOWN
wallsend,0,0,oov,0,None,0,0,-,False,False,OOWN
wizardry,1,2,poly,1,1.0,0,0,abs,ooc,False,1.000000000000001
instep,1,2,poly,2,0.25,1,0,conc,ooc,False,OOWN
aversion,1,2,poly,2,0.26666666666666666,1,0,abs,ooc,False,0.3780901880072347
dirigible,1,1,mon,2,None,0,0,conc,ooc,False,0.3511019554613727
won,1,1,mon,7,0.4,1,0,abs,ooc,False,OOV/OOW
mite,1,5,poly,2,0.1111111111111111,1,0,abs-conc,ooc,False,OOV/OOW
driftage,1,3,poly,1,1.0,0,0,abs,ooc,False,OOV/OOW
colonize,1,1,mon,2,0.25,1,0,-,ooc,False,OOWN
junior,1,2,poly,7,0.5,2,0,conc,True,False,OOV/OOW
tummy,1,1,mon,2,0.5555555555555556,1,0,conc,ooc,False,0.16637987152675215
uncared - for,1,1,mon,0,None,0,0,-,ooc,False,OOWN
legally,0,0,oov,2,None,0,0,-,False,False,OOWN
adulate,1,1,mon,1,1.0,0,0,-,ooc,False,OOV/OOW
seizure,1,2,poly,4,0.4,2,0,abs,ooc,False,0.1319163110502146
skillet,1,1,mon,1,1.0,0,0,conc,ooc,False,1.0000000000000018
pre-term,0,0,oov,0,None,0,0,-,False,False,OOWN
calliper,1,1,mon,2,None,0,0,conc,ooc,False,OOWN
stubby,1,1,mon,1,1.0,0,0,-,ooc,False,1.0000000000000013
latter - day,1,1,mon,0,None,0,0,-,ooc,False,OOWN
charnel house,1,1,mon,0,None,0,0,-,ooc,False,OOWN
transport,2,7,homonyms_only_different_pos,11,0.1111111111111111,3,10,abs-conc,False,False,0.19442576047471927
British Virgin Islands,0,0,oov,0,None,0,0,-,ooc,True,OOWN
under -,1,3,poly,0,None,0,0,-,ooc,False,OOWN
mizzenmast,1,1,mon,1,1.0,0,0,conc,ooc,False,OOV/OOW
fraudulence,1,2,poly,3,0.21052631578947367,0,0,abs,ooc,False,OOV/OOW
ballot box,1,1,mon,0,None,0,0,-,ooc,False,OOWN
dozy,1,3,poly,1,1.0,0,0,-,ooc,False,1.0000000000000016
sideboard,1,1,mon,3,0.5882352941176471,2,0,conc,ooc,False,OOWN
edelweiss,1,1,mon,1,0.8333333333333334,0,0,conc,ooc,False,1.0000000000000018
construe,1,2,poly,1,1.0,0,0,-,ooc,False,1.0000000000000009
canonicals,1,1,mon,0,None,0,0,-,ooc,False,OOWN
plasterer,1,1,mon,1,1.0,0,0,conc,ooc,False,1.000000000000001
anaemia,1,1,mon,2,0.2,1,0,abs,ooc,False,OOWN
mary,0,0,oov,1,0.9285714285714286,0,0,n,False,False,OOV/OOW
cowhide,1,3,poly,4,0.2,1,0,abs-conc,ooc,False,OOV/OOW
junk,3,5,homonyms_also_same_pos,3,0.2,2,7,abs-conc,False,False,0.16259369435643362
indigent,1,1,mon,1,1.0,0,0,-,ooc,False,1.0000000000000016
mileage,1,3,poly,3,0.2727272727272727,1,0,abs,False,False,OOV/OOW
unlike,1,1,mon,2,None,1,0,-,False,False,OOWN
retch,1,1,mon,3,0.3333333333333333,1,0,abs,ooc,False,OOV/OOW
High Sheriff,1,1,mon,0,None,0,0,-,ooc,False,OOWN
semblance,1,1,mon,3,0.11764705882352941,1,0,abs-conc,ooc,False,OOWN
