word,n_entries,n_senses_total,polysemy_type,n_synsets,min_wup_sim,n_navigli_clusters,n_onto_senses_n_v,wn-abs-conc,mipvu,metonymy_entities
,0,0,oov,0,None,1,0,-,False,False
sawyer,1,1,mon,2,0.48,2,0,conc,ooc,False
tilt at,1,3,poly,0,None,0,0,-,ooc,False
meaty,1,2,poly,2,None,1,0,-,ooc,False
circumstance,1,2,poly,4,0.26666666666666666,2,0,abs,False,False
adhere to,1,1,mon,0,None,0,0,-,ooc,False
starch,2,4,homonyms_only_different_pos,3,0.6956521739130435,0,0,abs,ooc,False
cutthroat,2,3,homonyms_only_different_pos,2,None,0,0,conc,ooc,False
Newfoundland,1,1,mon,2,0.375,2,0,conc-n,ooc,False
prime number,1,1,mon,0,None,0,0,-,ooc,False
blind date,1,2,poly,0,None,0,0,-,ooc,False
leftovers,1,1,mon,2,0.16666666666666666,0,0,abs-conc,ooc,False
tottering,0,0,oov,5,0.2222222222222222,0,0,-,True,False
charwoman,1,1,mon,1,1.0,0,0,conc,ooc,False
anglican,0,0,oov,2,None,0,0,conc,False,False
jobbing,1,1,mon,4,0.125,0,0,-,ooc,False
bridge,3,10,homonyms_also_same_pos,12,0.1,8,18,abs-conc,True,False
silversmith,1,1,mon,1,1.0,0,0,conc,ooc,False
cosby,0,0,oov,0,None,0,0,-,False,False
confines,1,1,mon,7,0.18181818181818182,0,0,abs,ooc,False
despotic,1,1,mon,3,None,0,0,-,ooc,False
dietetics,1,1,mon,1,1.0,0,0,abs,ooc,False
optical,1,1,mon,3,None,1,0,-,ooc,False
lay open,1,3,poly,0,None,0,0,-,ooc,False
wanderlust,1,1,mon,1,1.0,0,0,abs,ooc,False
regiment,2,4,homonyms_only_different_pos,4,0.25,1,0,abs,ooc,False
animal kingdom,1,1,mon,0,None,0,0,-,ooc,False
wallsend,0,0,oov,0,None,0,0,-,False,False
wizardry,1,2,poly,1,1.0,0,0,abs,ooc,False
instep,1,2,poly,2,0.25,1,0,conc,ooc,False
aversion,1,2,poly,2,0.26666666666666666,1,0,abs,ooc,False
dirigible,1,1,mon,2,None,0,0,conc,ooc,False
won,1,1,mon,7,0.4,1,0,abs,ooc,False
mite,1,5,poly,2,0.1111111111111111,1,0,abs-conc,ooc,False
driftage,1,3,poly,1,1.0,0,0,abs,ooc,False
colonize,1,1,mon,2,0.25,1,0,-,ooc,False
junior,1,2,poly,7,0.5,2,0,conc,True,False
tummy,1,1,mon,2,0.5555555555555556,1,0,conc,ooc,False
uncared - for,1,1,mon,0,None,0,0,-,ooc,False
legally,0,0,oov,2,None,0,0,-,False,False
