word,n_entries,n_senses_total,wn_senses
abate,1,3,2
abbey,1,3,3
abbreviation,1,2,2
ABC,1,2,1
abdicate,1,2,1
aberrant,1,2,2
aberration,1,3,3
abet,1,2,1
abhorrent,1,2,1
abide by,1,2,0
abject,1,2,4
ablaze,1,3,4
able,1,2,4
ablutions,1,2,1
abominable,1,2,2
abomination,1,2,3
abort,1,3,4
abortion,1,4,2
abracadabra,1,2,1
abrasion,1,2,3
abreast,1,2,2
abridge,1,2,2
abridgment,1,2,1
abroad,1,3,4
abrupt,1,3,4
absence,1,3,4
absinth,1,2,1
absolutely,1,3,2
absolute,1,5,6
absolution,1,2,2
absolve,1,2,2
absorb,1,4,9
absorption,1,3,6
abstemious,1,2,2
abstention,1,2,1
abstracted,1,2,5
abstraction,1,3,6
absurd,1,2,3
academy,1,2,4
acc .,1,4,0
accede,1,3,3
accelerate,1,2,2
acceleration,1,2,3
accelerator,1,2,4
accentuate,1,2,2
accept,1,3,11
acceptable,1,2,4
acceptance,1,3,7
access,1,4,8
accessible,1,2,4
accession,1,4,7
accessory,1,3,5
accident,1,3,2
acclamation,1,3,1
acclimatize,1,2,1
accolade,1,2,1
accommodate,1,5,7
accommodating,1,2,9
accommodation,1,4,6
accommodations,1,2,6
accompaniment,1,2,4
accompany,1,3,4
accomplished,1,2,5
accomplishment,1,4,2
accordingly,1,2,2
according to,1,2,0
accost,1,2,2
accountable,1,2,1
account for,1,3,0
accoutrements,1,2,1
accredit,1,4,3
accretion,1,2,6
accumulation,1,2,4
accumulative,1,2,2
accumulator,1,3,3
accurate,1,2,2
accursed,1,2,2
accusation,1,2,2
accustomed,1,2,3
ace,1,4,11
acerbity,1,3,3
achieve,1,2,1
achievement,1,2,1
acidulous,1,2,1
acknowledge,1,5,6
acknowledgment,1,3,3
acolyte,1,2,1
aconite,1,2,1
acoustic,1,2,2
acoustics,1,3,2
acquaintance,1,3,3
acquaintanceship,1,2,1
acquaint with,1,2,0
acquire,1,2,7
acquisition,1,2,4
acquit,1,2,2
acrid,1,2,2
acrobatics,1,2,2
across,1,4,2
action,1,13,12
activate,1,4,5
activity,1,3,6
actor,1,2,2
actual,1,2,5
actuality,1,2,1
actually,1,2,4
acute,1,7,7
Adam,1,2,3
adaptation,1,2,3
addiction,1,2,3
addition,1,3,6
addle,1,2,2
add,1,5,7
add up,1,2,0
add up to,1,2,0
adenoidal,1,2,2
adenoids,1,2,1
adequate,1,4,3
adherence,1,2,2
adhesion,1,3,4
