name,indices
wiki_frequency_1,79 71 73 33 39 17 1 42 76 32 55 81 65 36 54 13 65 68 40 4 67 22 51 27 46 45 0 16 34 17 45 7 7 8 14 38 30 6 1 38 21 23 46 50 51 4 30 20 9 25 19 33 8 23 41 15 2 2 8 4 35 16 31 13 21 9 4 0 24 0 10 9 14 7 1 7 15 18 3 0 2 3 4 12 9 1 0 8 7 1 2 1 2 2 0 0 0 12 0 19 19 9 13 4 17 14 1 4 9 2 0 7 7 9 5 6 4 3 0 3 0 0 0
wiki_frequency_2,19 20 8 9 8 4 17 5 18 19 9 23 22 15 11 19 17 14 13 14 5 9 7 3 3 2 7 2 3 0 0 2 1 0 0 48 69 9 29 72 31 41 52 72 38 8 26 21 17 24 0 38 48 31 6 25 8 13 7 45 4 55 57 50 13 3 48 43 33 25 11 34 44 13 36 8 40 2 33 31 14 0 26 5 36 8 26 16 9 28 4 4 12 20 10 5 4 3 0 0 0 0 15 6 2 5 12 10 1 5 8 3 7 0 5 2 3 0 1 0
cosine_centroid_1,77 105 25 90 1 113 43 43 7 102 81 63 4 86 58 37 69 20 72 32 64 71 91 68 92 83 77 54 55 16 66 84 30 32 18 6 6 5 0 19 17 12 2 6 1 5 8 1 2 5 2 6 6 3 4 3 2 1 0 5 22 39 23 16 16 13 26 29 25 0 9 15 13 24 5 0 4 5 3 7 7 4 18 11 11 8 5 3 5 10 8 0 9 2 0 3 2 0 0 10 12
cosine_centroid_2,1 0 0 0 1 2 0 0 47 40 0 46 2 39 7 16 12 21 28 21 6 12 1 8 21 12 13 21 17 28 5 20 23 8 0 1 0 25 43 10 21 23 22 1 2 2 34 26 8 9 27 3 43 43 7 11 12 0 0 9 12 16 24 17 0 24 15 4 22 13 16 22 13 18 0 9 5 12 15 3 10 3 10 4 2 8 2 3 3 4 0 2 1 2 4 0 16 2
cosine_centroid_3,0 48 34 24 4 32 13 15 17 5 2 15 1 6 3 1 9 1 2 1 6 4 3 2 0 1 0 1 6 0 4 1 3 24 29 6 16 47 28 53 34 46 39 48 8 36 2 18 1 2 21 15 17 36 13 39 16 10 31 51 27 48 52 0 4 42 22 7 16 7 43 8 44 2 7 8 17 23 5 17 21 30 21 4 29 17 11 0 25 23 24 1 3 10
polysemy_1,15 1 16 1 6 6 9 13 4 0 11 15 16 18 14 0 10 2 7 16 4 0 7 9 9 1 0 1 64 14 13 37 38 27 15 11 17 38 76 7 78 53 16 35 59 40 72 38 32 64 21 41 14 61 7 55 29 47 45
polysemy_2,25 7 29 25 4 30 29 13 0 36 85 27 47 37 38 39 77 76 13 6 72 20 16 28 59 62 48 0 41 12 14 65 28 15 4 52
polysemy_3,3 4 0 4 3 2 1 0 49 11 11 16 1 2 6 7 4 5 7 1 1 1 0 3 2 0 0 1 29 66 59 28 83 22 64
polysemy_4,4 73 12 87 5 81 36 14 4 49 25 61 30 23 5 10 22 49 31 21 57 50 59 56 69 23 17 41 11
conc_1,25 4 10 12 21 0 2 6 54 0 6 9 5 0 8 6 1 4 2 4 0 3 0 2 0 0 34
conc_2,24 0 5 9 7 72 76 2 98 35 53 15 92 52 67 88 72 69 73 82 86 5 28 21 46
conc_3,1 90 5 2 10 7 18 18 27
fam_1,27 24 2 2 0 1 0
fam_2,25 0 91 81 56 28 50 0
fam_3,3 56 3 1 2 1 0
aoa_1,6 0 0 0
aoa_2,2 1
aoa_3,0
aoa_4,0
