name,indices
wiki_frequency_1,10 3 14 50 61 56 47 43 38 35 36 40 2
wiki_frequency_2,3 2 0 0 3 1 0 2 0 0 50 9
cosine_centroid_1,75 63 88 86 53 53 14 32 44 45 2 17 9
cosine_centroid_2,0 14 19 25 2 14 8 4 5 41 23 45
polysemy_1,11 18 51 33 35 8 0 4 13 71 42
polysemy_2,0 3 4 0 4 4 1 2 1 0 0 0 0
polysemy_3,52 33 52 39 69 27 33 32 3 53 37 47 19
polysemy_4,0 1 10 5 7 7 4 5 3 0 0 0
conc_1,54 47 73 1 19 63 35 33 70 52 61 59
conc_2,10 5 8 3 1 3 5 4 0 2
fam_1,39 0 0 56 45 10 57 14 65
fam_2,7 86 72 1 0
fam_3,2 3 2
aoa_1,67
aoa_2,0
