name,indices
wiki_frequency_1,25 29 14 12 43 44 5 23 41 29 39 36 29 8 15 14 25 6 21 26 2 0 26 15 5 13 4 4 16 2 3 20 7 15 10 14 18 3 4 14 3 3 5 2 2 1 3 0 6 1 2 2 1 1 0 6 1 7 6 1 1 1 2 1 0
wiki_frequency_2,4 3 6 0 3 0 2 2 0 0 29 34 10 33 24 34 27 7 32 36 10 3 27 39 18 11 29 7 20 18 16 9 18 6 10 15 15 16 4 12 8 2 8 16 17 8 7 14 8 0 1 7 5 2 2 2 0 0 2 1 2 1 0
cosine_centroid_1,55 34 38 20 7 41 4 34 22 52 32 15 14 6 0 5 14 4 12 7 24 10 23 9 20 10 9 10 2 19 8 7 12 10 14 9 8 9 4 0 8 1 4 2 3 3 1 0 0 4 4 2 3 2 0 0 5
cosine_centroid_2,0 11 6 37 17 38 23 3 28 0 0 35 39 10 38 22 7 5 35 15 16 24 12 19 12 10 8 16 13 13 20 16 22 22 15 1 5 12 1 16 0 3 5 5 2 10 4 1 6 1 2 3 2 1 4
polysemy_1,17 2 2 0 0 2 1 0 0 29 12 10 41 9 34 13 34 32 16 33 22 34 27 24 23 3 13 21 16 1 8 19 12 20 8 10 2 17 4 9 1 4 2 11 8 0 7 2 3 5 0 7 0 8
polysemy_2,0 1 0 4 46 6 41 29 13 13 1 34 31 38 20 41 22 0 18 41 9 31 18 5 20 20 15 26 3 10 17 6 14 24 4 12 0 9 1 20 16 11 19 3 9 11 3 3
polysemy_3,0 6 1 33 2 0 0 0 46 8
polysemy_4,7 37 6 2 0 47 11 47 21 14
conc_1,11 0 3 19 20 1 0
conc_2,5 12 29 2 0 17 30
fam_1,34 3 2 45 42
fam_2,4 0
fam_3,1 26 0
aoa_1,48
aoa_2,0
aoa_3,0
aoa_4,0
