name,indices
wiki_frequency_1,36 40 5 17 8 26 36 32 25 21 14 26
wiki_frequency_2,245 129 14 211 65 68 60 222 28 159 13 95
cosine_centroid_1,9 10 23 2 24 32 29 14 25 18 8 25
cosine_centroid_2,26 40 122 131 100 2 108 47 104 81 16 35
cosine_centroid_3,63 88 47 110 26 98 40 102 93 103 102 47
polysemy_1,40 27 14 29 7 32 23 19 2 41 13 21
polysemy_2,4 1 7 3 2 0 1 2 0 0 57
polysemy_3,40 56 42 56 21 79 11 35 78 22 34 93
polysemy_4,19 118 100 108 71 13 16 69 61 20 37
conc_1,6 28 17 35 51 13 19 39 1 7 157
conc_2,148 49 109 151 116 63 101 179 53 44 0
conc_3,0 13 14 5 0 5 10 7 8 24
fam_1,1 27 25 3 25 36 15 20 16 7 191
fam_2,16 155 147 141 179 87 171 103 194 17 0
fam_3,103 0 3 5 4 4 1 2 0 3
fam_4,1 6 4 8 2 1 5 4 4 4 118
aoa_1,1 2 196 241 158 227 80 186 235 21
aoa_2,10 141
aoa_3,222
aoa_4,0
