name,indices
wiki_frequency_1,15 30 6 11 10 9 24 22 19 16 11 13 17 14 13 7 2 5 5 2 3 7 5 5 2 6 0 1 1 0 1 0 0 0 3 0 0 0 0
wiki_frequency_2,10 0 2 6 6 3 6 1 3 2 1 0 0 7 18 4 7 7 7 12 9 9 9 4 4 0 6 5 3 0 2 7 0 4
cosine_centroid_1,2 1 1 0 1 2 1 0 8 14 1 4 8 2 0 3 0 0 2 0 0 12 8 6 8 0 8
cosine_centroid_2,3 6 4 2 25 17 25 0 8 1 1 0 5 1 3 6 1 3 1 0 1 0 5
cosine_centroid_3,20 4 13 20 1 5 4 1 0 9 8 7 4 2 1 6 0 2 2 3 1 0 0 3
cosine_centroid_4,0 2 3 5 13 13 3 1 1 0 9 3 7 3 4 1 3 1 1 1 0
polysemy_1,1 0 3 3 1 1 1 2 0 3 7 2 3 3 1 1 1 0 0 4 0
polysemy_2,1 5 8 5 0 11 4 4 3 0 0 3 5 16 7 1 19 4 11 5
polysemy_3,6 2 8 13 0 13 16 14 0 2 11 6 5
polysemy_4,7 0 7 3 11 6 3 6 10 6 1
conc_1,0 18 3 13 7 11 1 2 0 2 2
conc_2,20 4 7 4 0 25 23 17
conc_3,2 16 1 12
fam_1,8 0 2 27
fam_2,4 2 0 0
fam_3,0 10
aoa_1,2 0
aoa_2,20
aoa_3,1
