name,indices
wiki_frequency_1,36 47 70 28 65 68 21 40 45 68 56 17 25 21 37 24 40 52 41 31 37 35 47 10 12 9 5 41 5 7 32 0 26 30 10 11 29 13 29 15 2 21 19 15 9 5 26 26 7 28 5 7 18 12 23 21 17 8 2 8 15 13 8 2 5 9 5 8 0 6 7 3 5 2 1 2 0 0 7 14 3 9 5 8 6 1 2 2 0 4 0 0 1 0
wiki_frequency_2,2 6 11 1 1 8 7 5 0 0 3 2 1 1 0 2 67 29 54 49 26 65 16 31 52 19 27 42 38 0 38 47 54 22 54 3 44 29 9 6 41 23 7 3 36 34 10 8 34 30 38 13 33 2 12 14 4 10 21 20 22 17 9 25 5 25 1 13 9 14 14 20 0 9 5 11 5 5 1 4 4 3 1 0 0 2 1 0
cosine_centroid_1,24 38 57 0 14 71 28 27 8 73 60 32 46 58 70 2 3 16 5 13 0 21 0 14 1 8 12 9 7 5 8 11 6 0 8 6 3 2 4 0 1 1 0 35 15 15 30 11 26 24 26 33 16 19 18 18 17 8 18 4 21 4 3 9 14 16 10 4 16 12 7 6 5 8 4 8 1 1 0 2 0 0 2 2
polysemy_1,5 24 8 8 29 37 14 0 2 29 5 2 26 21 6 9 3 0 6 5 2 0 0 1 0 0 33 46 47 7 0 24 8 27 6 41 5 23 0 43 11 41 33 21 7 4 2 11 22 22 6 18 24 14 18 7 16 9 15 13 14 0 4 4 2 12 14 9 2 10 2 5 6 2 6 6 1 7 7 1 3 4
polysemy_2,22 15 16 15 18 15 9 15 8 4 6 3 6 7 7 41 66 20 45 8 58 49 21 25 40 15 53 34 50 30 6 17 38 30 40 12 44 3 10 34 7 38 19 18 18 15 7 5 12 23 10 13 15 16 16 25 0 18 27 25 22 12 20 17 17 11 0 1 9 7 5 3 12 13 2 6 0
polysemy_3,13 6 11 7 9 9 7 6 1 4 2 3 2 1 0 30 20 56 51 38 36 14 19 54 7 30 32 23 17 25 35 40 47 46 3 32 38 12 5 23 9 27 29
polysemy_4,7 0 1 1 3 2 2 0 0 17 50 25 43 43 19 49 29 30 68 56 55 6 17 38 23
conc_1,63 44 54 30 41 31 25 44 22 0 23 51 55 57
conc_2,4 3 0 5 5 0 1 2 0 58 73 68 62 43
conc_3,0 16 46 74 47 55 58 63 0
fam_1,50 1 0 0 0 2 0 0 18
fam_2,0 7 5 69 10 40 39 14 57
fam_3,8 21 20
aoa_1,66 1 0
aoa_2,1 1 0
aoa_3,0
