name,indices
wiki_frequency_1,1 11 9 1 11 16 12 9 1 9 8 3 13 5 2 0 7 5 2 1 2 2 3 1 1 0 21 1 30 14 14 1 10 11 26 2 0 18 6 12 13 17 0 7 3 5 4 0 4 6 8 3 8 1 6 3 3 3 0 0 0 17 17 4 7 12 9 9 5 3 4 5 9 0 5 4 4 0 2 1 0 1 0
wiki_frequency_2,60 41 34 36 46 27 16 35 40 10 46 22 43 25 5 17 33 17 4 2 26 38 2 7 17 15 47 48 37 25 24 25 0 35 13 35 42 39 38 22 13 40 1 23 35 9 30 25 31 31 3 11 1 4 7 18 26 11 0 4 4 1 2 0 0 7 7 9 6 8 8 7 1 4 4 1 2 0 0
cosine_centroid_1,62 29 17 72 9 57 26 66 0 0 1 25 23 42 31 55 51 48 34 60 10 44 60 3 28 39 15 15 2 3 5 12 0 5 7 5 11 2 0 1 7 3 5 2 2 1 0 0 14 6 1 6 0 10 7 5 5 1 4 1 3 10 5
cosine_centroid_2,0 0 0 11 5 1 12 6 6 16 20 23 5 13 26 13 4 6 28 20 0 20 13 5 12 2 28 8 30 33 24 2 3 13 25 23 0 2 16 12 5 6 0 6 7 2 8 0 11 1 7 1 2 2 3 5 1 2 0 1 0
polysemy_1,32 15 37 14 6 10 7 7 2 0 0 0 4 3 3 1 1 0 0 33 15 2 3 15 24 4 17 25 1 4 0 10 6 8 20 7 14 22 13 17 12 6 8 7 5 11 6 14 4 21 2 8 1 10 13 10 9 16 3 6
polysemy_2,13 11 6 12 14 4 4 6 7 9 0 7 2 5 2 1 1 1 19 42 0 2 2 0 0 1 21 8 6 2 5 1 38 34 15 13 28 18 15 34 18 22 1 25 24 14 7
polysemy_3,17 4 4 54 12 47 28 25 51 35 21 15 19 2 32 5 2 6 2 1 1 0 20 11
polysemy_4,0 0 0 6 7 7 16 4 9 14 4 6 8 0 10 2 4 1 2 1 25 20 36 41 16
conc_1,31 52 13 10 0 1 9 13 3 1 5 3 5 0 4 3 1 0 21 19 43 44 33
conc_2,0 22 17 55 26 9 42 45 37 39 17 18 43 43 28 7 33 40 30
conc_3,7 7 2 0 62 44 67 11 11 30 25 24 61 22 13 1 13
fam_1,15 39 48 3 1 2 1 0
fam_2,13 1 1
fam_3,2 4 55
aoa_1,51 1 0
aoa_2,2 4 2
aoa_3,0
