name,indices
wiki_frequency_1,146 216 200 50 125 131 125 42 164 175 52 30
wiki_frequency_2,30 35 25 33 7 18 32 33 24 21 21 14
cosine_centroid_1,5 4 3 19 11 5 18 0 14 21 21 4
cosine_centroid_2,12 2 65 110 0 37 75 105 87 94 53 12
cosine_centroid_3,91 129 151 10 60 12 3 30 83 68 5 86
polysemy_1,24 14 63 72 75 21 21 97 37 94 86 28
polysemy_2,10 32 17 33 36 29 23 18 12 16 0 4
polysemy_3,10 6 2 4 0 0 0 2 2 1 0
polysemy_4,78 45 55 38 68 12 90 73 16 10 103 113
conc_1,102 124 0 44 191 215 29 159 55 34 14 38
conc_2,55 14 46 52 4 7 37 3 11 20 23 185
fam_1,140 143 55 109 160 54 146 206 71 40 21 1
fam_2,8 5 5 8 2 7 1 6 2 3 0 11
fam_3,33 30 11 22 6 35 22 14 6 24 33 234
fam_4,1 0 214 71 158 100 239 45 85 2
aoa_1,251 255 2 2 2 4 4 2 1 1 0
aoa_2,1 5 5 0 4 0 0 6 5 6 0
aoa_3,2 4
aoa_4,0
