name,indices
wiki_frequency_1,0 12 8 14 10 13 7 2 2 5 6 6 4 8 8 1 6 5 0 2 1 0 0 0 5 3 2 1 0 0
wiki_frequency_2,19 3 6 3 4 5 5 9 2 7 4 3 1 1 0 1 0 0 1 0 1 0
wiki_frequency_3,10 1 0 0 0 0 1 0 2 0 3 2 1 0 0 1 2 3 0 1 0
cosine_centroid_1,2 5 6 8 6 1 2 3 2 3 1 7 1 5 0 2 0 0 0 0 2 7 4
cosine_centroid_2,10 15 3 6 4 12 6 3 8 1 6 0 1 0 0 0 3 1 0 0
cosine_centroid_3,17 6 2 6 8 7 9 9 1 1 0 0 1 0 3 2 0 1 9 3
polysemy_1,9 0 0 0 8 5 3 7 2 8 4 6 1 2 0 2 5
polysemy_2,0 7 2 6 0 0 0 0 7 2 5 7 1 5 2 2 4 13
polysemy_3,0 0 5 1 4 10 6 2 8 7 2 0 0 1 7 5 6
polysemy_4,4 4 17 14 4 13 0 13 5 4 8 7 4 4 5 8
conc_1,15 13 4 0 5 11 7 0 18 3 1 8 1 11
conc_2,16 10 4 14 0 5 6 0
conc_3,0 1 0 12 2 12 18
fam_1,0 17 13 5 1 1 1 1
fam_2,1 3 4 1
fam_3,1 3 2
aoa_1,5 0
aoa_2,6
aoa_3,1
