name,indices
wiki_frequency_1,4 3 7 0 2 1 4 1 2 0 0 0 1 0 2 0 0
wiki_frequency_2,8 8 11 7 3 1 2 4 0 1 1 0 0 0 1
cosine_centroid_1,4 0 1 2 2 2 0 0 1 1 1 0 0
cosine_centroid_2,0 1 0 0 0 1 4 1 0 1 0
cosine_centroid_3,10 4 2 8 1 0 0 3 2 0 0 2
cosine_centroid_4,0 0 1 0 0 1 0 0 1 0 3
polysemy_1,3 1 0 0 2 4 1 2 0 1 1
polysemy_2,8 6 0 4 1 2 3 1 3 2 4
polysemy_3,4 1 2 1 0 2 1 1 0
polysemy_4,1 0 6 7 0 6 4 0 8
conc_1,8 1 0 2 3 2 0
conc_2,1 2 2 6 0 4 3 3
conc_3,10 4 8 4 1
fam_1,6 5 1 2
fam_2,0 1 0 4 12
fam_3,2 4 4
aoa_1,4 8
aoa_2,0
aoa_3,15
aoa_4,0
