name,indices
wiki_frequency_1,15 3 7 11 1 4 4 3 3 4 0 5 1 3 0 2 1 0 53 92 26 3 45 97 88 56 25 54 45 39 77 12 53 70 8 33 74 17 24 63 62 30 0 29 14 0 12 31 19 61 31 24 26 5 23 14 20 33 55 1 44 28 22 1 38 13 11 53 1 51 50 5 28 39 35 8 22 41 21 22 10 0 14 30 22 17 4 18 7 19 29 16 6 16 8 9 8 3 15 15 19 19 10 5 6 2 5 9 9 4 10 8 0 0 3 5 4 2 2 1 0 2 5 0 2 2 1 0
wiki_frequency_2,50 14 81 98 111 94 21 13 11 20 106 95 39 35 29 22 7 64 19 49 1 49 14 26 26 17 45 17 27 17 14 4 1 4 9 12 9 10 27 27 24 24 18 18 1 11 13 7 23 19 1 15 14 13 11 13 15 0 12 12 10 6 2 5 0 1 2 4 1 0 2 0 0 7 1 21 4 24 31 24 27 8 28 22 6 2 8 3 21 1 17 0 13 15 12 3 6 13 2 11 7 9 8 2 1 2 2 2 2 1 0 15 12 5 3 5 4 8 0 3
cosine_centroid_1,31 0 32 5 17 19 38 22 40 6 5 44 30 36 36 35 51 21 28 2 24 34 30 15 39 24 34 19 31 15 16 32 13 3 12 0 7 4 25 14 0 23 13 22 16 4 11 9 1 12 6 5 11 7 8 2 4 4 2 6 5 2 3 2 1 0 41 4 22 39 13 15 19 11 21 9 26 7 5 22 15 12 0 22 16 4 12 7 11 15 8 7 5 2 4 1 2 3 5 5 3 0 0 2 0 0 17 16 15 2
cosine_centroid_2,17 57 29 28 57 1 49 18 55 9 36 40 28 28 10 5 12 41 22 10 2 10 31 12 10 13 29 23 10 12 9 6 12 18 16 14 1 5 14 14 13 1 5 6 11 2 8 7 0 0 3 1 3 2 1 0 1 27 38 18 0 21 45 27 41 21 29 0 19 10 26 6 28 4 21 41 0 35 13 33 40 15 31 14 6 26 21 4 5 34 23 18 11 0 28 18 19 28 1 16 7 5 19 19 16 4
polysemy_1,35 3 45 27 15 33 45 40 19 13 29 19 27 23 22 19 23 31 1 0 4 2 4 3 5 6 3 1 3 0 1 0 8 9 5 8 0 1 3 8 0 5 5 4 3 0 1 0 19 15 29 13 1 13 20 3 48 38 24 23 4 40 7 12 51 40 2 57 51 17 45
polysemy_2,13 9 5 18 0 17 18 17 21 1 2 0 0 6 7 6 6 8 8 17 23 12 11 23 19 18 13 16 17 10 14 0 71 54 20 34 32 66 1 66 40 47 52 61 52 24 24 12 26 36 29 52 12 31 10 29 44 3 33 11 12 53 13 9 14 11
polysemy_3,0 2 0 0 41 11 19 23 6 5 28 21 9 22 5 29 30 8 8 10 0 6 4 5 4 1 1 2 0 0 1 16 24 63 56 0 67 2 29 49 1 34 1 28 6 31 14 70 19 37 24 21 9 28
polysemy_4,7 16 12 0 8 19 15 8 1 2 6 5 16 7 12 5 2 3 72 36 11 79 70 33 1 7 73 67 18 42 18 23 71 23 84 75 49 67 59 20 17 79 19 8 17 6 72 55 41
conc_1,8 4 9 10 22 60 42 3 78 69 23 60 2 86 46 20 9 17 0 1 4 1 1 0 1 0 29 35 45 26 87
conc_2,48 23 44 81 10 15 2 7 11 16 4 2 9 1 4 5 9 1 0 25 26 84 12 44 56 36 82 13 96 53 86
conc_3,0 6 16 49 10 34 98 43 92 95 85 58 36 88 46 76 21 107 95 63 60 13 5 55 64
fam_1,2 24 4 69 1 2 0 0 51 79 17 48 1 90 104 39 57
fam_2,84 4 4 4 28 29 105 86
fam_3,5 105 76 73 0 0 0
aoa_1,35 0 1 0 2 1
aoa_2,0 0 1
aoa_3,0
aoa_4,4
