name,indices
wiki_frequency_1,0 5 3 9 0 0 0 4 2 1 2 0 0 10 6 8 5 5 0 2 1 1 1 0
wiki_frequency_2,6 3 5 8 8 5 1 2 2 2 2 1 0 1 1 0 5 4 1 2 2 1 0
wiki_frequency_3,2 1 0 13 7 12 2 14 11 8 5 0 0
cosine_centroid_1,0 6 6 4 0 1 0 0 1 0 0 2 5 2
cosine_centroid_2,0 6 2 0 4 2 3 1 2 0 4 0 7
cosine_centroid_3,1 7 0 4 2 1 0 0 1 2 4 3 0
polysemy_1,0 0 2 1 0 1 1 0 2 11 6
polysemy_2,9 1 4 7 5 0 3 6 1 4 0
polysemy_3,1 5 8 7 4 0 2 0 3
polysemy_4,3 8 6 4 6 2 7 4
conc_1,3 5 11 7 12 6 3 12
conc_2,8 8 0
fam_1,5 1 9 0
fam_2,11 15 1
fam_3,2 1
aoa_1,14
aoa_2,1
aoa_3,0
