name,indices
wiki_frequency_1,79 78 70 41 78 90 39 63 0 72 21 18 69 69 16 8 36 51 44 48 54 59 74 49 31 1 26 52 38 41 19 5 3 50 58 19 6 49 61 60 5 22 47 23 32 7 9 7 32 19 16 35 34 5 29 44 33 42 30 4 10 0 16 8 22 28 1 31 11 12 23 27 17 4 1 5 16 15 17 12 18 12 2 7 1 1 1 7 7 0 1 5 6 6 1 1 0 2 0 0 6 2 2 11 2 4 1 5 1 2 4 1 2 0 0
wiki_frequency_2,0 10 0 6 17 3 8 2 10 10 7 9 0 8 2 4 6 1 1 4 4 0 0 0 0 34 38 63 30 54 67 6 47 53 63 8 67 38 18 49 44 23 19 54 68 59 3 47 61 39 39 1 51 49 14 5 15 10 14 39 22 16 12 8 45 16 35 39 14 32 15 24 41 39 6 16 5 21 8 2 28 29 7 5 14 28 22 0 7 23 10 1 4 12 6 17 8 7 11 10 2 0 2 8 8 4 5 3 5 4 1 0 1 0
cosine_centroid_1,77 61 97 30 35 96 46 41 38 52 101 26 46 55 92 74 25 80 23 52 26 41 25 73 63 5 19 9 15 21 21 12 12 9 15 3 12 11 4 9 3 6 0 1 0 4 3 2 0 0 0 0 41 31 19 30 11 0 24 14 14 32 12 29 0 7 15 13 4 5 2 19 13 3 4 11 17 11 1 2 4 4 0 9 9 0 1 0 6 0 1 2 2 0 0 8 0 8
cosine_centroid_2,8 4 3 6 4 5 1 1 2 1 0 38 15 23 34 13 17 22 3 10 9 27 19 7 17 0 3 8 2 5 6 12 4 6 8 9 8 1 3 2 2 2 0 1 0 1 36 27 10 2 18 20 37 7 19 25 5 17 16 22 22 5 16 22 13 20 10 1 6 6 3 9 14 15 4 6 5 6 5 9 8 3 7 6 4 2 2 2 1 0 2 14 15
polysemy_1,43 13 16 3 23 39 6 23 30 3 13 24 3 15 8 25 8 14 13 13 21 2 8 15 6 0 30 19 64 35 22 41 25 51 25 44 43 19 5 40 15 26 35 25 45 16 25 33 32 25 21 9 40 27 25 0 33 43 47 4 42 45 41 47 18 9 16 4 14 27 16 23 31 6 31 35 22 12 21 4 0 22 14 16 11 15 22 21 18 9 9
polysemy_2,14 9 7 36 28 20 7 25 22 33 13 0 13 0 5 3 7 1 5 1 2 4 2 1 1 57 1 4 0 2 1 0 25 20 22 8 41 42 51 44 35 22 45 13 16 66 23 26 53 43 52
polysemy_3,4 15 23 8 21 0 4 13 12 1 3 4 45 39 4 13 22 14 46 41 68 5 63 29 20 4 0 6 49 45 49 47 51 53 62 70 70 29 52 29 29 32 62 1 20 45
polysemy_4,1 0 62 3 9 65 37 51 62 60 20 9 1 3 8 13 3 5 8 1 2 2 5 6 63 0 0 1 0 75
conc_1,68 41 3 7 11 7 19 1 4 13 11 47 36 3 49 60 64 43 69 62 53 44 47 1 25 4 5 45 38 37
conc_2,19 7 20 76 37 34 20 35 81 74 70 16 10 7 12 1 6 4 8 3 3 8 3 3 4 29
conc_3,0 17 16 22 15 19 8 1 9 10 83 6 61 64 41 37 44 92 19 57 87 44 15 13
fam_1,67 27 1 0 0 55 58 81 84 73
fam_2,12 1 104 26 12 0 2 1 0
fam_3,4 59 1 2 3
aoa_1,64 0 2 0 0
aoa_2,5 1
aoa_3,0
