name,indices
wiki_frequency_1,3 0 1 0 1 0 12 14 12 3 4 9 5 0 8 0 6 0 4 2 0 0 0 1 0
wiki_frequency_2,12 6 17 7 13 3 0 0 9 1 4 3 4 2 4 1 1 1 0 2 2 2
cosine_centroid_1,1 1 0 0 0 11 0 1 4 2 3 0 1 0 2 4
cosine_centroid_2,4 3 0 15 6 13 0 1 3 3 2 1 0 3
cosine_centroid_3,18 12 14 1 3 1 0 1 0 1 1 2 0 0 0 1
cosine_centroid_4,0 5 2 2 0 5 2 1 0 1 1 2 1 9
polysemy_1,2 0 1 6 6 6 5 2 1 0 0 10
polysemy_2,0 2 8 10 0 8 2 1 5 0 6 6
polysemy_3,0 7 8 0 3 3 15
polysemy_4,3 0 3 11 1 3 0
conc_1,1 6 10 8 3 2 4
conc_2,8 12 3 0 0
conc_3,12 8 1 1
fam_1,13 5 10
fam_2,5 0 0
fam_3,0 1
aoa_1,2 0
aoa_2,9 0
aoa_3,1
