name,indices
wiki_frequency_1,27 32 11 6 4 18 15 3 9 7 16 13 16 13 19 6 7 4 11 15 4 8 12 5 7 2 6 6 0 0 3 2 0 0 0 0 3 6 6 6 2 3 1 3 3 0 1 0 0
wiki_frequency_2,6 5 12 11 7 1 6 1 3 2 1 2 2 0 0 13 5 30 11 20 9 21 16 8 16 11 13 2 9 7 13 10 6 8 10 2 1 6 3 1 1 2 1 1 0 0 0
cosine_centroid_1,1 0 0 18 40 10 20 4 4 34 6 31 17 2 3 1 0 0 0 11 13 10 16 6 0 11 13 15 13 12 7 4 8 0 2 7 4 5 2 2 3 1 1 0 1
cosine_centroid_2,5 23 41 15 1 10 8 10 6 3 3 4 4 3 4 1 0 1 0 11 24 8 8 19 18 20 17 15 17 1 7 8 6 2 3 7 7 7 5 6 2 4 6 5 4 0
polysemy_1,0 14 13 4 1 4 2 1 2 2 1 0 4 2 4 2 22 14 22 4 1 4 11 4 19 11 10 4 9 7 6 13 9 13
polysemy_2,8 8 6 0 2 5 4 0 10 2 4 6 32 9 4 3 7 15 16 0 19
polysemy_3,4 2 16 29 32 35 35 32 3 4 32 13 22 8 11 6 20 6 1
conc_1,13 13 7 0 27 35 17 9 13 8 6 5 30 22
conc_2,1 0 1 36 5 10 30 3 14 2 30
conc_3,0 39 0
fam_1,41 1 0 21
fam_2,3 27
fam_3,0 0 0
aoa_1,28
aoa_2,2
