name,indices
wiki_frequency_0,38 27 17 35 25 35 18 5 34 14 19 27 25 27 12 28 24 19 5 15 6 24 12
wiki_frequency_1,185 51 82 80 116 2 224 82 63 184 53 57 100 62 74 91 16 180 33 158 150 157 0
cosine_centroid_2,12 5 10 9 14 27 3 2 29 22 9 0 1 23 8 11 9 14 18 16 14 14 13
cosine_centroid_3,45 105 79 34 101 107 107 112 56 86 19 28 99 22 38 100 15 84 90 85 56 83 37
cosine_centroid_4,108 64 38 76 43 71 56 54 22 81 27 90 25 71 81 8 104 91 93 80 68 76 12
polysemy_5,9 9 19 2 45 5 4 29 25 9 31 29 20 32 11 36 37 6 9 29 5 23 5
polysemy_6,6 8 2 4 1 4 0 2 0 0 63 91 85 1 17 59 31 2 67 26 80 10
polysemy_7,51 89 28 78 89 37 86 43 78 11 60 93 37 32 20 71 7 41 23 55 38 63 64
polysemy_8,115 21 86 23 54 48 31 14 95 38 31 50 41 4 42 42 35 9 2 17 4 40
conc_9,33 56 2 31 25 34 27 37 27 31 46 206 29 116 7 163 199 39 165 77 160 108
conc_10,230 53 218 147 8 73 108 58 25 68 4 0 3 1 1 1 1 0 14 2 5
conc_11,0 10 12 13 1 9 10 1 5 22 11 17 20 20 29 7 6 32 128 30 204
fam_12,8 35 33 16 8 29 7 5 12 9 108 23 95 204 210 17 175 199 54 157 7 118
fam_13,47 119 83 165 47 155 18 82 168 64 0 2 0 0 0 220
fam_14,131 0 4 5 5 3 2 2 1 1 83 134 50 5 240
fam_15,0 6 12 3 10 1 3 2 2 1 155
aoa_16,0 2 74 46 201 117 105 102 95 196
aoa_17,2 260
aoa_18,249
aoa_19,0
