name,indices
wiki_frequency_1,65 7 6 59 21 32 3 81 55 30 23 17 52 53 54 60 26 29 53 30 57 23 23 64 9 58 51 5 13 32 53 39 1 41 14 29 34 43 39 8 44 5 20 22 23 1 7 2 38 9 25 2 18 33 28 25 9 8 21 14 5 14 14 15 24 8 15 6 1 9 1 14 14 5 13 6 10 6 5 2 3 0 0 5 2 0 1 1 0 0 3 0 9 4 8 2 1 2 4 3 2 0 0 8 2 0 1 4 3 2 0 0
wiki_frequency_2,20 23 16 6 23 10 18 2 17 4 17 14 8 5 6 3 1 9 1 1 4 5 1 1 0 2 0 0 15 17 11 45 38 34 47 40 62 22 22 18 32 19 17 45 8 25 55 0 6 30 5 34 44 21 20 6 17 9 10 6 17 21 26 17 35 7 14 6 12 8 18 18 13 26 6 1 23 17 23 2 6 10 10 15 6 8 6 14 11 7 0 8 6 4 2 2 1 1 0 0 0 1
cosine_centroid_1,100 9 37 55 37 50 91 18 14 32 58 17 8 73 43 46 31 9 13 68 3 56 14 23 36 31 28 26 0 0 1 2 0 0 0 2 2 3 1 0 0 1 0 50 15 52 32 20 41 20 14 0 13 28 43 17 19 36 40 22 18 6 26 35 34 33 20 13 26 0 24 10 12 23 8 3 10 5 7 3 3 6 7 8 2 1 3 0 4 7 3 0 1 4 3 2 0 0
cosine_centroid_2,12 8 9 7 4 6 0 6 0 5 1 0 2 0 0 6 4 2 1 5 1 6 2 3 1 1 2 5 4 4 10 0 1 6 2 47 52 9 57 9 28 9 30 24 50 43 0 19 14 16 18 27 7 18 30 25 42 31 12 23 22 8 29 16 22 12 17 27 0 12 0 15 2 3 19 22 20 13 9 16 16 6 13 9 1 14 11 0 16 7 12 10 9 7 4 10 5 9 11 7
polysemy_1,19 24 22 9 4 14 20 16 5 13 11 13 3 13 13 16 10 1 3 4 11 6 9 11 1 3 4 7 6 13 26 5 23 20 35 6 28 45 24 24 14 0 54 30 16 0 39 6 23 11 20 44 18 8 54 14 45 42 30 25 7 49 36 41 27 32 13 8 19 23 4 5 17 31 14 29 27 11 7 15 25 5 18 11 1 16 21 1 7
polysemy_2,3 29 27 0 28 19 0 14 24 17 24 3 6 12 5 6 3 16 24 23 3 12 14 1 18 12 12 5 0 58 36 30 6 12 29 38 52 4 48 9 56 33 53 19 2
polysemy_3,11 4 40 1 31 17 23 2 9 5 32 13 25 4 29 77 5 15 72 24 23 14 30 20 17 5 49 35 22 71 0 56 19 30 41 39
polysemy_4,0 5 0 0 4 3 0 1 0 22 44 60 60 37 0 0 44 5 54 0 33 20 22 56 48 5 20 62
conc_1,67 54 6 11 60 8 60 21 57 1 4 5 2 1 0 80 52 59 11 59 6 84 22 75 66 7 40
conc_2,8 2 10 0 5 8 10 4 7 41 65 18 80 57 73 0 0
fam_1,70 9 66 77 95 45 81 57 16 3 1 4 3 1 2 74 29
fam_2,3 1 2 4 10 1 2 2 1 79 36 81 13 48 29
aoa_1,62 31 30 80 23 1 98 48 7
aoa_2,1 1 0 0
aoa_3,0 1
aoa_4,2
