concept,label,categories_str,sources_str,certainty
fog,pos,rise,manual_seed_data,not_certain
audience,pos,rise,manual_seed_data,not_certain
dough,pos,food measure rise,wn_hypernym manual_seed_data,not_certain
water,pos,food rise,wn_hypernym manual_seed_data,not_certain
tide,pos,measure rise,wn_hypernym manual_seed_data,not_certain
building,pos,rise,manual_seed_data,not_certain
sun,pos,rise,manual_seed_data,not_certain
moon,pos,measure rise,wn_hypernym manual_seed_data,not_certain
star,pos,rise,manual_seed_data,not_certain
prices,pos,rise,manual_seed_data,not_certain
stock_market,pos,rise,manual_seed_data,not_certain
numbers,pos,rise,manual_seed_data,not_certain
phenomenon,pos,rise,manual_seed_data,not_certain
tension,pos,rise,manual_seed_data,not_certain
spirits,pos,food rise,wn_hypernym manual_seed_data,not_certain
mood,pos,rise,manual_seed_data,not_certain
person,pos,rise,manual_seed_data,not_certain
novel,pos,rise,manual_seed_data,not_certain
film,pos,rise,manual_seed_data,not_certain
movie,pos,rise,manual_seed_data,not_certain
singer,pos,rise,manual_seed_data,not_certain
actor,pos,rise,manual_seed_data,not_certain
food,neg,food,wn_hypernym,not_certain
nutrient,neg,food,wn_hypernym,not_certain
drink,neg,measure food,wn_hypernym,not_certain
potable,neg,food,wn_hypernym,not_certain
drinkable,neg,food,wn_hypernym,not_certain
beverage,neg,food,wn_hypernym,not_certain
chyme,neg,food,wn_hypernym,not_certain
victual,neg,food,wn_hypernym,not_certain
comestible,neg,food,wn_hypernym,not_certain
pabulum,neg,food,wn_hypernym,not_certain
victuals,neg,food,wn_hypernym,not_certain
eatable,neg,food,wn_hypernym,not_certain
edible,neg,food,wn_hypernym,not_certain
comfort_food,neg,food,wn_hypernym,not_certain
provender,neg,food,wn_hypernym,not_certain
provisions,neg,food,wn_hypernym,not_certain
viands,neg,food,wn_hypernym,not_certain
commissariat,neg,food,wn_hypernym,not_certain
medium,neg,food,wn_hypernym,not_certain
culture_medium,neg,food,wn_hypernym,not_certain
fare,neg,food,wn_hypernym,not_certain
feed,neg,food,wn_hypernym,not_certain
food_product,neg,food,wn_hypernym,not_certain
foodstuff,neg,food,wn_hypernym,not_certain
micronutrient,neg,food,wn_hypernym,not_certain
miraculous_food,neg,food,wn_hypernym,not_certain
manna_from_heaven,neg,food,wn_hypernym,not_certain
manna,neg,food,wn_hypernym,not_certain
nutriment,neg,food,wn_hypernym,not_certain
alimentation,neg,food,wn_hypernym,not_certain
nutrition,neg,food,wn_hypernym,not_certain
nourishment,neg,food,wn_hypernym,not_certain
aliment,neg,food,wn_hypernym,not_certain
sustenance,neg,food,wn_hypernym,not_certain
soul_food,neg,food,wn_hypernym,not_certain
vitellus,neg,food,wn_hypernym,not_certain
yolk,neg,food,wn_hypernym,not_certain
alcoholic_drink,neg,food,wn_hypernym,not_certain
intoxicant,neg,food,wn_hypernym,not_certain
alcoholic_beverage,neg,food,wn_hypernym,not_certain
inebriant,neg,food,wn_hypernym,not_certain
alcohol,neg,food,wn_hypernym,not_certain
cyder,neg,food,wn_hypernym,not_certain
cider,neg,food,wn_hypernym,not_certain
chocolate,neg,food,wn_hypernym,not_certain
hot_chocolate,neg,food,wn_hypernym,not_certain
cocoa,neg,food,wn_hypernym,not_certain
drinking_chocolate,neg,food,wn_hypernym,not_certain
java,neg,food,wn_hypernym,not_certain
coffee,neg,food,wn_hypernym,not_certain
cooler,neg,food,wn_hypernym,not_certain
drinking_water,neg,food,wn_hypernym,not_certain
fizz,neg,food,wn_hypernym,not_certain
ade,neg,food,wn_hypernym,not_certain
fruit_drink,neg,food,wn_hypernym,not_certain
fruit_crush,neg,food,wn_hypernym,not_certain
fruit_juice,neg,food,wn_hypernym,not_certain
ginger_beer,neg,food,wn_hypernym,not_certain
hydromel,neg,food,wn_hypernym,not_certain
mate,neg,measure food,wn_hypernym,not_certain
milk,neg,food,wn_hypernym,not_certain
mixer,neg,food,wn_hypernym,not_certain
near_beer,neg,food,wn_hypernym,not_certain
oenomel,neg,food,wn_hypernym,not_certain
potion,neg,food,wn_hypernym,not_certain
refresher,neg,food,wn_hypernym,not_certain
smoothie,neg,food,wn_hypernym,not_certain
soft_drink,neg,food,wn_hypernym,not_certain
tea-like_drink,neg,food,wn_hypernym,not_certain
tea,neg,food,wn_hypernym,not_certain
wish-wash,neg,food,wn_hypernym,not_certain
tuck,neg,food,wn_hypernym,not_certain
food_cache,neg,food,wn_hypernym,not_certain
larder,neg,food,wn_hypernym,not_certain
agar,neg,food,wn_hypernym,not_certain
nutrient_agar,neg,food,wn_hypernym,not_certain
table,neg,food,wn_hypernym,not_certain
board,neg,food,wn_hypernym,not_certain
chuck,neg,food,wn_hypernym,not_certain
chow,neg,food,wn_hypernym,not_certain
grub,neg,food,wn_hypernym,not_certain
eats,neg,food,wn_hypernym,not_certain
diet,neg,food,wn_hypernym,not_certain
dietary,neg,food,wn_hypernym,not_certain
menu,neg,food,wn_hypernym,not_certain
ration,neg,food,wn_hypernym,not_certain
